Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,exclusion_reason,reactant1_code,reactant2_code
4623,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,AmPhos,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,47.31,10735478.0,original_solvent_exclusion,,
4624,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Cy)3,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,50.68,9901592.0,original_solvent_exclusion,,
4625,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,66.87,16327858.0,original_solvent_exclusion,,
4626,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,CataCXium A,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,71.17,14781294.0,original_solvent_exclusion,,
4627,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,SPhos,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,48.25,11970503.0,original_solvent_exclusion,,
4628,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dtbpf,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,47.4,8533032.0,original_solvent_exclusion,,
4629,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,XPhos,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,54.86,13256965.0,original_solvent_exclusion,,
4630,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dppf,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,48.88,10939137.0,original_solvent_exclusion,,
4631,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,Xantphos,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,27.14,4737031.0,original_solvent_exclusion,,
4632,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,None,,NaOH,2.5,MeOH/H2O_V2 9:1,51.24,15769757.0,original_solvent_exclusion,,
4633,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(tBu)3,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,45.35,9240132.0,original_solvent_exclusion,,
4634,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Ph)3,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,71.25,12727535.0,original_solvent_exclusion,,
4635,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,AmPhos,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,42.29,9038418.0,original_solvent_exclusion,,
4636,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Cy)3,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,49.58,5648693.0,original_solvent_exclusion,,
4637,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,80.86,15007399.0,original_solvent_exclusion,,
4638,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,CataCXium A,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,79.71,13758404.0,original_solvent_exclusion,,
4639,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,SPhos,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,65.44,14197429.0,original_solvent_exclusion,,
4640,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dtbpf,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,29.72,3952419.75,original_solvent_exclusion,,
4641,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,XPhos,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,78.04,14766654.0,original_solvent_exclusion,,
4642,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dppf,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,35.52,4991033.5,original_solvent_exclusion,,
4643,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,Xantphos,"0,1250",KOH,2.5,MeOH/H2O_V2 9:1,0.0,1091629.88,original_solvent_exclusion,,
4644,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,None,,KOH,2.5,MeOH/H2O_V2 9:1,65.36,15725442.0,original_solvent_exclusion,,
4645,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(tBu)3,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,33.79,3029731.75,original_solvent_exclusion,,
4646,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Ph)3,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,0.0,330720.53,original_solvent_exclusion,,
4647,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,AmPhos,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,0.0,2783907.5,original_solvent_exclusion,,
4648,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Cy)3,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,19.51,3517605.5,original_solvent_exclusion,,
4649,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,69.06,15241399.0,original_solvent_exclusion,,
4650,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,CataCXium A,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,83.36,13484706.0,original_solvent_exclusion,,
4651,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,SPhos,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,0.0,2757163.5,original_solvent_exclusion,,
4652,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dtbpf,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,0.0,1233889.75,original_solvent_exclusion,,
4653,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,XPhos,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,92.19,10894679.0,original_solvent_exclusion,,
4654,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dppf,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,0.0,578292.13,original_solvent_exclusion,,
4655,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,Xantphos,"0,1250",LiOtBu,2.5,MeOH/H2O_V2 9:1,0.0,1134365.5,original_solvent_exclusion,,
4656,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,None,,LiOtBu,2.5,MeOH/H2O_V2 9:1,58.21,3051757.25,original_solvent_exclusion,,
4657,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(tBu)3,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,56.2,12309718.0,original_solvent_exclusion,,
4658,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Ph)3,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,50.56,9034659.0,original_solvent_exclusion,,
4659,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,AmPhos,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,40.6,9159064.0,original_solvent_exclusion,,
4660,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Cy)3,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,41.56,8257490.0,original_solvent_exclusion,,
4661,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,66.92,14476746.0,original_solvent_exclusion,,
4662,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,CataCXium A,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,66.51,12509083.0,original_solvent_exclusion,,
4663,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,SPhos,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,23.01,3631242.75,original_solvent_exclusion,,
4664,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dtbpf,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,31.37,5628792.5,original_solvent_exclusion,,
4665,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,XPhos,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,36.28,8272050.0,original_solvent_exclusion,,
4666,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dppf,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,0.0,1311977.13,original_solvent_exclusion,,
4667,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,Xantphos,"0,1250",NaHCO3,2.5,MeOH/H2O_V2 9:1,0.0,648509.75,original_solvent_exclusion,,
4668,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,MeOH/H2O_V2 9:1,31.49,8473372.0,original_solvent_exclusion,,
4669,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(tBu)3,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,0.0,0.0,original_solvent_exclusion,,
4670,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Ph)3,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,39.72,7112112.0,original_solvent_exclusion,,
4671,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,AmPhos,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,42.23,9849672.0,original_solvent_exclusion,,
4672,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Cy)3,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,37.26,6414405.0,original_solvent_exclusion,,
4673,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,58.84,13461301.0,original_solvent_exclusion,,
4674,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,CataCXium A,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,56.74,12149080.0,original_solvent_exclusion,,
4675,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,SPhos,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,21.71,3190456.25,original_solvent_exclusion,,
4676,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dtbpf,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,35.03,7280822.5,original_solvent_exclusion,,
4677,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,XPhos,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,26.87,4936779.5,original_solvent_exclusion,,
4678,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dppf,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,0.0,434106.75,original_solvent_exclusion,,
4679,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,Xantphos,"0,1250",Et3N,2.5,MeOH/H2O_V2 9:1,0.0,913989.94,original_solvent_exclusion,,
4680,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,None,,Et3N,2.5,MeOH/H2O_V2 9:1,27.04,6035948.5,original_solvent_exclusion,,
4681,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(tBu)3,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,54.02,10888348.0,original_solvent_exclusion,,
4682,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Ph)3,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,65.54,13819203.0,original_solvent_exclusion,,
4683,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,AmPhos,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,54.54,12920938.0,original_solvent_exclusion,,
4684,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Cy)3,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,59.37,10632500.0,original_solvent_exclusion,,
4685,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,68.57,15396931.0,original_solvent_exclusion,,
4686,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,CataCXium A,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,69.72,14555870.0,original_solvent_exclusion,,
4687,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,SPhos,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,57.99,13853244.0,original_solvent_exclusion,,
4688,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dtbpf,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,59.66,12063643.0,original_solvent_exclusion,,
4689,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,XPhos,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,72.36,17627480.0,original_solvent_exclusion,,
4690,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dppf,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,43.64,8019224.0,original_solvent_exclusion,,
4691,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,Xantphos,"0,1250",CsF,2.5,MeOH/H2O_V2 9:1,28.26,4995704.0,original_solvent_exclusion,,
4692,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,None,,CsF,2.5,MeOH/H2O_V2 9:1,49.82,14017753.0,original_solvent_exclusion,,
4693,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(tBu)3,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,40.99,9880837.0,original_solvent_exclusion,,
4694,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Ph)3,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,48.95,9708399.0,original_solvent_exclusion,,
4695,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,AmPhos,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,34.64,7025238.0,original_solvent_exclusion,,
4696,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Cy)3,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,27.94,4016904.0,original_solvent_exclusion,,
4697,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,51.99,11513816.0,original_solvent_exclusion,,
4698,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,CataCXium A,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,52.56,11916554.0,original_solvent_exclusion,,
4699,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,SPhos,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,0.0,1867470.88,original_solvent_exclusion,,
4700,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dtbpf,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,21.33,2496457.75,original_solvent_exclusion,,
4701,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,XPhos,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,21.78,2501026.0,original_solvent_exclusion,,
4702,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dppf,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,0.0,738269.94,original_solvent_exclusion,,
4703,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,Xantphos,"0,1250",K3PO4,2.5,MeOH/H2O_V2 9:1,0.0,462674.88,original_solvent_exclusion,,
4704,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,None,,K3PO4,2.5,MeOH/H2O_V2 9:1,22.54,3765478.25,original_solvent_exclusion,,
4801,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(tBu)3,"0,1250",None,2.5,THF_V2,25.7,7357245.5,original_solvent_exclusion,,
4802,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Ph)3,"0,1250",None,2.5,THF_V2,25.74,7029538.5,original_solvent_exclusion,,
4803,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,AmPhos,"0,1250",None,2.5,THF_V2,22.59,6318380.0,original_solvent_exclusion,,
4804,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Cy)3,"0,1250",None,2.5,THF_V2,0.0,327753.13,original_solvent_exclusion,,
4805,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,"0,1250",None,2.5,THF_V2,0.0,1467820.13,original_solvent_exclusion,,
