model,position,feature,source_field,block
selected_2,1,num__vbur_pct_boltz,vbur_pct_boltz,ligand
selected_2,2,num__vbur_pct_min,vbur_pct_min,ligand
selected_2,3,"cat__Reactant_1_Short_Hand_1a, 6-Cl-Q",Reactant_1_Short_Hand,shared_categorical
selected_2,4,"cat__Reactant_1_Short_Hand_1b, 6-Br-Q",Reactant_1_Short_Hand,shared_categorical
selected_2,5,"cat__Reactant_1_Short_Hand_1c, 6-OTf-Q",Reactant_1_Short_Hand,shared_categorical
selected_2,6,"cat__Reactant_1_Short_Hand_1d, 6-I-Q",Reactant_1_Short_Hand,shared_categorical
selected_2,7,cat__Reagent_1_Short_Hand_CsF,Reagent_1_Short_Hand,shared_categorical
selected_2,8,cat__Reagent_1_Short_Hand_Et3N,Reagent_1_Short_Hand,shared_categorical
selected_2,9,cat__Reagent_1_Short_Hand_K3PO4,Reagent_1_Short_Hand,shared_categorical
selected_2,10,cat__Reagent_1_Short_Hand_KOH,Reagent_1_Short_Hand,shared_categorical
selected_2,11,cat__Reagent_1_Short_Hand_LiOtBu,Reagent_1_Short_Hand,shared_categorical
selected_2,12,cat__Reagent_1_Short_Hand_NaHCO3,Reagent_1_Short_Hand,shared_categorical
selected_2,13,cat__Reagent_1_Short_Hand_NaOH,Reagent_1_Short_Hand,shared_categorical
selected_2,14,cat__Reagent_1_Short_Hand_None,Reagent_1_Short_Hand,shared_categorical
selected_2,15,cat__Solvent_1_Short_Hand_DMF,Solvent_1_Short_Hand,shared_categorical
selected_2,16,cat__Solvent_1_Short_Hand_MeCN,Solvent_1_Short_Hand,shared_categorical
selected_2,17,cat__Solvent_1_Short_Hand_MeOH,Solvent_1_Short_Hand,shared_categorical
selected_2,18,cat__Solvent_1_Short_Hand_THF,Solvent_1_Short_Hand,shared_categorical
selected_2,19,cat__substrate_pair_1a_2a,substrate_pair,shared_categorical
selected_2,20,cat__substrate_pair_1a_2b,substrate_pair,shared_categorical
selected_2,21,cat__substrate_pair_1a_2c,substrate_pair,shared_categorical
selected_2,22,cat__substrate_pair_1b_2a,substrate_pair,shared_categorical
selected_2,23,cat__substrate_pair_1b_2b,substrate_pair,shared_categorical
selected_2,24,cat__substrate_pair_1b_2c,substrate_pair,shared_categorical
selected_2,25,cat__substrate_pair_1c_2a,substrate_pair,shared_categorical
selected_2,26,cat__substrate_pair_1c_2b,substrate_pair,shared_categorical
selected_2,27,cat__substrate_pair_1c_2c,substrate_pair,shared_categorical
selected_2,28,cat__substrate_pair_1d_2a,substrate_pair,shared_categorical
selected_2,29,cat__substrate_pair_1d_2b,substrate_pair,shared_categorical
selected_2,30,cat__substrate_pair_1d_2c,substrate_pair,shared_categorical
pc_top,1,num__vbur_vtot_boltz,vbur_vtot_boltz,ligand
pc_top,2,num__volume_boltz,volume_boltz,ligand
pc_top,3,num__vbur_near_vtot_vburminconf,vbur_near_vtot_vburminconf,ligand
pc_top,4,num__pyr_P_max,pyr_P_max,ligand
pc_top,5,num__qpole_amp_max,qpole_amp_max,ligand
pc_top,6,num__vbur_qvbur_min_min,vbur_qvbur_min_min,ligand
pc_top,7,num__vbur_near_vbur_delta,vbur_near_vbur_delta,ligand
pc_top,8,num__vbur_vbur_delta,vbur_vbur_delta,ligand
pc_top,9,num__vbur_qvbur_min_delta,vbur_qvbur_min_delta,ligand
pc_top,10,num__nbo_bds_occ_avg_boltz,nbo_bds_occ_avg_boltz,ligand
pc_top,11,num__efgtens_zz_P_boltz,efgtens_zz_P_boltz,ligand
pc_top,12,num__nmr_P_boltz,nmr_P_boltz,ligand
pc_top,13,"cat__Reactant_1_Short_Hand_1a, 6-Cl-Q",Reactant_1_Short_Hand,shared_categorical
pc_top,14,"cat__Reactant_1_Short_Hand_1b, 6-Br-Q",Reactant_1_Short_Hand,shared_categorical
pc_top,15,"cat__Reactant_1_Short_Hand_1c, 6-OTf-Q",Reactant_1_Short_Hand,shared_categorical
pc_top,16,"cat__Reactant_1_Short_Hand_1d, 6-I-Q",Reactant_1_Short_Hand,shared_categorical
pc_top,17,cat__Reagent_1_Short_Hand_CsF,Reagent_1_Short_Hand,shared_categorical
pc_top,18,cat__Reagent_1_Short_Hand_Et3N,Reagent_1_Short_Hand,shared_categorical
pc_top,19,cat__Reagent_1_Short_Hand_K3PO4,Reagent_1_Short_Hand,shared_categorical
pc_top,20,cat__Reagent_1_Short_Hand_KOH,Reagent_1_Short_Hand,shared_categorical
pc_top,21,cat__Reagent_1_Short_Hand_LiOtBu,Reagent_1_Short_Hand,shared_categorical
pc_top,22,cat__Reagent_1_Short_Hand_NaHCO3,Reagent_1_Short_Hand,shared_categorical
pc_top,23,cat__Reagent_1_Short_Hand_NaOH,Reagent_1_Short_Hand,shared_categorical
pc_top,24,cat__Reagent_1_Short_Hand_None,Reagent_1_Short_Hand,shared_categorical
pc_top,25,cat__Solvent_1_Short_Hand_DMF,Solvent_1_Short_Hand,shared_categorical
pc_top,26,cat__Solvent_1_Short_Hand_MeCN,Solvent_1_Short_Hand,shared_categorical
pc_top,27,cat__Solvent_1_Short_Hand_MeOH,Solvent_1_Short_Hand,shared_categorical
pc_top,28,cat__Solvent_1_Short_Hand_THF,Solvent_1_Short_Hand,shared_categorical
pc_top,29,cat__substrate_pair_1a_2a,substrate_pair,shared_categorical
pc_top,30,cat__substrate_pair_1a_2b,substrate_pair,shared_categorical
pc_top,31,cat__substrate_pair_1a_2c,substrate_pair,shared_categorical
pc_top,32,cat__substrate_pair_1b_2a,substrate_pair,shared_categorical
pc_top,33,cat__substrate_pair_1b_2b,substrate_pair,shared_categorical
pc_top,34,cat__substrate_pair_1b_2c,substrate_pair,shared_categorical
pc_top,35,cat__substrate_pair_1c_2a,substrate_pair,shared_categorical
pc_top,36,cat__substrate_pair_1c_2b,substrate_pair,shared_categorical
pc_top,37,cat__substrate_pair_1c_2c,substrate_pair,shared_categorical
pc_top,38,cat__substrate_pair_1d_2a,substrate_pair,shared_categorical
pc_top,39,cat__substrate_pair_1d_2b,substrate_pair,shared_categorical
pc_top,40,cat__substrate_pair_1d_2c,substrate_pair,shared_categorical
pc_scores,1,num__PC1_x_vmin_vmin_boltz,vmin_vmin_boltz,ligand
pc_scores,2,num__PC1_x_vmin_r_boltz,vmin_r_boltz,ligand
pc_scores,3,num__PC1_x_fmo_e_homo_boltz,fmo_e_homo_boltz,ligand
pc_scores,4,num__PC1_x_fmo_e_lumo_boltz,fmo_e_lumo_boltz,ligand
pc_scores,5,num__PC1_x_fmo_mu_boltz,fmo_mu_boltz,ligand
pc_scores,6,num__PC1_x_fmo_eta_boltz,fmo_eta_boltz,ligand
pc_scores,7,num__PC1_x_fmo_omega_boltz,fmo_omega_boltz,ligand
pc_scores,8,num__PC1_x_somo_ra_boltz,somo_ra_boltz,ligand
pc_scores,9,num__PC1_x_somo_rc_boltz,somo_rc_boltz,ligand
pc_scores,10,num__PC1_x_nbo_P_boltz,nbo_P_boltz,ligand
pc_scores,11,num__PC1_x_nbo_P_ra_boltz,nbo_P_ra_boltz,ligand
pc_scores,12,num__PC1_x_spindens_P_ra_boltz,spindens_P_ra_boltz,ligand
pc_scores,13,num__PC1_x_nbo_P_rc_boltz,nbo_P_rc_boltz,ligand
pc_scores,14,num__PC1_x_spindens_P_rc_boltz,spindens_P_rc_boltz,ligand
pc_scores,15,num__PC1_x_nmr_P_boltz,nmr_P_boltz,ligand
pc_scores,16,num__PC1_x_nmrtens_sxx_P_boltz,nmrtens_sxx_P_boltz,ligand
pc_scores,17,num__PC1_x_nmrtens_syy_P_boltz,nmrtens_syy_P_boltz,ligand
pc_scores,18,num__PC1_x_nmrtens_szz_P_boltz,nmrtens_szz_P_boltz,ligand
pc_scores,19,num__PC1_x_efg_amp_P_boltz,efg_amp_P_boltz,ligand
pc_scores,20,num__PC1_x_efgtens_xx_P_boltz,efgtens_xx_P_boltz,ligand
pc_scores,21,num__PC1_x_efgtens_yy_P_boltz,efgtens_yy_P_boltz,ligand
pc_scores,22,num__PC1_x_efgtens_zz_P_boltz,efgtens_zz_P_boltz,ligand
pc_scores,23,num__PC1_x_nuesp_P_boltz,nuesp_P_boltz,ligand
pc_scores,24,num__PC1_x_E_solv_cds_boltz,E_solv_cds_boltz,ligand
pc_scores,25,num__PC1_x_nbo_lp_P_percent_s_boltz,nbo_lp_P_percent_s_boltz,ligand
pc_scores,26,num__PC1_x_nbo_lp_P_occ_boltz,nbo_lp_P_occ_boltz,ligand
pc_scores,27,num__PC1_x_nbo_lp_P_e_boltz,nbo_lp_P_e_boltz,ligand
pc_scores,28,num__PC1_x_nbo_bd_e_max_boltz,nbo_bd_e_max_boltz,ligand
pc_scores,29,num__PC1_x_nbo_bd_e_avg_boltz,nbo_bd_e_avg_boltz,ligand
pc_scores,30,num__PC1_x_nbo_bds_e_min_boltz,nbo_bds_e_min_boltz,ligand
pc_scores,31,num__PC1_x_nbo_bds_e_avg_boltz,nbo_bds_e_avg_boltz,ligand
pc_scores,32,num__PC1_x_nbo_bd_occ_min_boltz,nbo_bd_occ_min_boltz,ligand
pc_scores,33,num__PC1_x_nbo_bd_occ_avg_boltz,nbo_bd_occ_avg_boltz,ligand
pc_scores,34,num__PC1_x_nbo_bds_occ_max_boltz,nbo_bds_occ_max_boltz,ligand
pc_scores,35,num__PC1_x_nbo_bds_occ_avg_boltz,nbo_bds_occ_avg_boltz,ligand
pc_scores,36,num__PC1_x_E_solv_total_boltz,E_solv_total_boltz,ligand
pc_scores,37,num__PC1_x_E_solv_elstat_boltz,E_solv_elstat_boltz,ligand
pc_scores,38,num__PC1_x_E_oxidation_boltz,E_oxidation_boltz,ligand
pc_scores,39,num__PC1_x_E_reduction_boltz,E_reduction_boltz,ligand
pc_scores,40,num__PC1_x_fukui_p_boltz,fukui_p_boltz,ligand
pc_scores,41,num__PC1_x_fukui_m_boltz,fukui_m_boltz,ligand
pc_scores,42,num__PC1_x_vbur_vtot_boltz,vbur_vtot_boltz,ligand
pc_scores,43,num__PC1_x_vbur_ratio_vbur_vtot_boltz,vbur_ratio_vbur_vtot_boltz,ligand
pc_scores,44,num__PC1_x_Pint_P_int_boltz,Pint_P_int_boltz,ligand
pc_scores,45,num__PC1_x_Pint_dP_boltz,Pint_dP_boltz,ligand
pc_scores,46,num__PC1_x_Pint_P_min_boltz,Pint_P_min_boltz,ligand
pc_scores,47,num__PC1_x_Pint_P_max_boltz,Pint_P_max_boltz,ligand
pc_scores,48,num__PC1_x_volume_boltz,volume_boltz,ligand
pc_scores,49,num__PC1_x_surface_area_boltz,surface_area_boltz,ligand
pc_scores,50,num__PC1_x_sphericity_boltz,sphericity_boltz,ligand
pc_scores,51,num__PC1_x_dipolemoment_boltz,dipolemoment_boltz,ligand
pc_scores,52,num__PC1_x_dipolemoment_min,dipolemoment_min,ligand
pc_scores,53,num__PC1_x_dipolemoment_max,dipolemoment_max,ligand
pc_scores,54,num__PC1_x_dipolemoment_delta,dipolemoment_delta,ligand
pc_scores,55,num__PC1_x_dipolemoment_vburminconf,dipolemoment_vburminconf,ligand
pc_scores,56,num__PC1_x_qpole_amp_boltz,qpole_amp_boltz,ligand
pc_scores,57,num__PC1_x_qpole_amp_min,qpole_amp_min,ligand
pc_scores,58,num__PC1_x_qpole_amp_max,qpole_amp_max,ligand
pc_scores,59,num__PC1_x_qpole_amp_delta,qpole_amp_delta,ligand
pc_scores,60,num__PC1_x_qpole_amp_vburminconf,qpole_amp_vburminconf,ligand
pc_scores,61,num__PC1_x_qpoletens_xx_boltz,qpoletens_xx_boltz,ligand
pc_scores,62,num__PC1_x_qpoletens_xx_min,qpoletens_xx_min,ligand
pc_scores,63,num__PC1_x_qpoletens_xx_max,qpoletens_xx_max,ligand
pc_scores,64,num__PC1_x_qpoletens_xx_delta,qpoletens_xx_delta,ligand
pc_scores,65,num__PC1_x_qpoletens_xx_vburminconf,qpoletens_xx_vburminconf,ligand
pc_scores,66,num__PC1_x_qpoletens_yy_boltz,qpoletens_yy_boltz,ligand
pc_scores,67,num__PC1_x_qpoletens_yy_min,qpoletens_yy_min,ligand
pc_scores,68,num__PC1_x_qpoletens_yy_max,qpoletens_yy_max,ligand
pc_scores,69,num__PC1_x_qpoletens_yy_delta,qpoletens_yy_delta,ligand
pc_scores,70,num__PC1_x_qpoletens_yy_vburminconf,qpoletens_yy_vburminconf,ligand
pc_scores,71,num__PC1_x_qpoletens_zz_boltz,qpoletens_zz_boltz,ligand
pc_scores,72,num__PC1_x_qpoletens_zz_min,qpoletens_zz_min,ligand
pc_scores,73,num__PC1_x_qpoletens_zz_max,qpoletens_zz_max,ligand
pc_scores,74,num__PC1_x_qpoletens_zz_delta,qpoletens_zz_delta,ligand
pc_scores,75,num__PC1_x_qpoletens_zz_vburminconf,qpoletens_zz_vburminconf,ligand
pc_scores,76,num__PC1_x_pyr_P_boltz,pyr_P_boltz,ligand
pc_scores,77,num__PC1_x_pyr_P_min,pyr_P_min,ligand
pc_scores,78,num__PC1_x_pyr_P_max,pyr_P_max,ligand
pc_scores,79,num__PC1_x_pyr_P_delta,pyr_P_delta,ligand
pc_scores,80,num__PC1_x_pyr_P_vburminconf,pyr_P_vburminconf,ligand
pc_scores,81,num__PC1_x_pyr_alpha_boltz,pyr_alpha_boltz,ligand
pc_scores,82,num__PC1_x_pyr_alpha_min,pyr_alpha_min,ligand
pc_scores,83,num__PC1_x_pyr_alpha_max,pyr_alpha_max,ligand
pc_scores,84,num__PC1_x_pyr_alpha_delta,pyr_alpha_delta,ligand
pc_scores,85,num__PC1_x_pyr_alpha_vburminconf,pyr_alpha_vburminconf,ligand
pc_scores,86,num__PC1_x_vbur_vbur_boltz,vbur_vbur_boltz,ligand
pc_scores,87,num__PC1_x_vbur_vbur_min,vbur_vbur_min,ligand
pc_scores,88,num__PC1_x_vbur_vbur_max,vbur_vbur_max,ligand
pc_scores,89,num__PC1_x_vbur_vbur_delta,vbur_vbur_delta,ligand
pc_scores,90,num__PC1_x_vbur_vbur_vburminconf,vbur_vbur_vburminconf,ligand
pc_scores,91,num__PC1_x_vbur_qvbur_min_boltz,vbur_qvbur_min_boltz,ligand
pc_scores,92,num__PC1_x_vbur_qvbur_min_min,vbur_qvbur_min_min,ligand
pc_scores,93,num__PC1_x_vbur_qvbur_min_max,vbur_qvbur_min_max,ligand
pc_scores,94,num__PC1_x_vbur_qvbur_min_delta,vbur_qvbur_min_delta,ligand
pc_scores,95,num__PC1_x_vbur_qvbur_min_vburminconf,vbur_qvbur_min_vburminconf,ligand
pc_scores,96,num__PC1_x_vbur_qvbur_max_boltz,vbur_qvbur_max_boltz,ligand
pc_scores,97,num__PC1_x_vbur_qvbur_max_min,vbur_qvbur_max_min,ligand
pc_scores,98,num__PC1_x_vbur_qvbur_max_max,vbur_qvbur_max_max,ligand
pc_scores,99,num__PC1_x_vbur_qvbur_max_delta,vbur_qvbur_max_delta,ligand
pc_scores,100,num__PC1_x_vbur_qvbur_max_vburminconf,vbur_qvbur_max_vburminconf,ligand
pc_scores,101,num__PC1_x_vbur_qvtot_min_boltz,vbur_qvtot_min_boltz,ligand
pc_scores,102,num__PC1_x_vbur_qvtot_min_min,vbur_qvtot_min_min,ligand
pc_scores,103,num__PC1_x_vbur_qvtot_min_max,vbur_qvtot_min_max,ligand
pc_scores,104,num__PC1_x_vbur_qvtot_min_delta,vbur_qvtot_min_delta,ligand
pc_scores,105,num__PC1_x_vbur_qvtot_min_vburminconf,vbur_qvtot_min_vburminconf,ligand
pc_scores,106,num__PC1_x_vbur_qvtot_max_boltz,vbur_qvtot_max_boltz,ligand
pc_scores,107,num__PC1_x_vbur_qvtot_max_min,vbur_qvtot_max_min,ligand
pc_scores,108,num__PC1_x_vbur_qvtot_max_max,vbur_qvtot_max_max,ligand
pc_scores,109,num__PC1_x_vbur_qvtot_max_delta,vbur_qvtot_max_delta,ligand
pc_scores,110,num__PC1_x_vbur_qvtot_max_vburminconf,vbur_qvtot_max_vburminconf,ligand
pc_scores,111,num__PC1_x_vbur_max_delta_qvbur_boltz,vbur_max_delta_qvbur_boltz,ligand
pc_scores,112,num__PC1_x_vbur_max_delta_qvbur_min,vbur_max_delta_qvbur_min,ligand
pc_scores,113,num__PC1_x_vbur_max_delta_qvbur_max,vbur_max_delta_qvbur_max,ligand
pc_scores,114,num__PC1_x_vbur_max_delta_qvbur_delta,vbur_max_delta_qvbur_delta,ligand
pc_scores,115,num__PC1_x_vbur_max_delta_qvbur_vburminconf,vbur_max_delta_qvbur_vburminconf,ligand
pc_scores,116,num__PC1_x_vbur_max_delta_qvtot_boltz,vbur_max_delta_qvtot_boltz,ligand
pc_scores,117,num__PC1_x_vbur_max_delta_qvtot_min,vbur_max_delta_qvtot_min,ligand
pc_scores,118,num__PC1_x_vbur_max_delta_qvtot_max,vbur_max_delta_qvtot_max,ligand
pc_scores,119,num__PC1_x_vbur_max_delta_qvtot_delta,vbur_max_delta_qvtot_delta,ligand
pc_scores,120,num__PC1_x_vbur_max_delta_qvtot_vburminconf,vbur_max_delta_qvtot_vburminconf,ligand
pc_scores,121,num__PC1_x_vbur_ovbur_min_boltz,vbur_ovbur_min_boltz,ligand
pc_scores,122,num__PC1_x_vbur_ovbur_min_min,vbur_ovbur_min_min,ligand
pc_scores,123,num__PC1_x_vbur_ovbur_min_max,vbur_ovbur_min_max,ligand
pc_scores,124,num__PC1_x_vbur_ovbur_min_delta,vbur_ovbur_min_delta,ligand
pc_scores,125,num__PC1_x_vbur_ovbur_min_vburminconf,vbur_ovbur_min_vburminconf,ligand
pc_scores,126,num__PC1_x_vbur_ovbur_max_boltz,vbur_ovbur_max_boltz,ligand
pc_scores,127,num__PC1_x_vbur_ovbur_max_min,vbur_ovbur_max_min,ligand
pc_scores,128,num__PC1_x_vbur_ovbur_max_max,vbur_ovbur_max_max,ligand
pc_scores,129,num__PC1_x_vbur_ovbur_max_delta,vbur_ovbur_max_delta,ligand
pc_scores,130,num__PC1_x_vbur_ovbur_max_vburminconf,vbur_ovbur_max_vburminconf,ligand
pc_scores,131,num__PC1_x_vbur_ovtot_min_boltz,vbur_ovtot_min_boltz,ligand
pc_scores,132,num__PC1_x_vbur_ovtot_min_min,vbur_ovtot_min_min,ligand
pc_scores,133,num__PC1_x_vbur_ovtot_min_max,vbur_ovtot_min_max,ligand
pc_scores,134,num__PC1_x_vbur_ovtot_min_delta,vbur_ovtot_min_delta,ligand
pc_scores,135,num__PC1_x_vbur_ovtot_min_vburminconf,vbur_ovtot_min_vburminconf,ligand
pc_scores,136,num__PC1_x_vbur_ovtot_max_boltz,vbur_ovtot_max_boltz,ligand
pc_scores,137,num__PC1_x_vbur_ovtot_max_min,vbur_ovtot_max_min,ligand
pc_scores,138,num__PC1_x_vbur_ovtot_max_max,vbur_ovtot_max_max,ligand
pc_scores,139,num__PC1_x_vbur_ovtot_max_delta,vbur_ovtot_max_delta,ligand
pc_scores,140,num__PC1_x_vbur_ovtot_max_vburminconf,vbur_ovtot_max_vburminconf,ligand
pc_scores,141,num__PC1_x_vbur_near_vbur_boltz,vbur_near_vbur_boltz,ligand
pc_scores,142,num__PC1_x_vbur_near_vbur_min,vbur_near_vbur_min,ligand
pc_scores,143,num__PC1_x_vbur_near_vbur_max,vbur_near_vbur_max,ligand
pc_scores,144,num__PC1_x_vbur_near_vbur_delta,vbur_near_vbur_delta,ligand
pc_scores,145,num__PC1_x_vbur_near_vbur_vburminconf,vbur_near_vbur_vburminconf,ligand
pc_scores,146,num__PC1_x_vbur_far_vbur_boltz,vbur_far_vbur_boltz,ligand
pc_scores,147,num__PC1_x_vbur_far_vbur_min,vbur_far_vbur_min,ligand
pc_scores,148,num__PC1_x_vbur_far_vbur_max,vbur_far_vbur_max,ligand
pc_scores,149,num__PC1_x_vbur_far_vbur_delta,vbur_far_vbur_delta,ligand
pc_scores,150,num__PC1_x_vbur_far_vbur_vburminconf,vbur_far_vbur_vburminconf,ligand
pc_scores,151,num__PC1_x_vbur_near_vtot_boltz,vbur_near_vtot_boltz,ligand
pc_scores,152,num__PC1_x_vbur_near_vtot_min,vbur_near_vtot_min,ligand
pc_scores,153,num__PC1_x_vbur_near_vtot_max,vbur_near_vtot_max,ligand
pc_scores,154,num__PC1_x_vbur_near_vtot_delta,vbur_near_vtot_delta,ligand
pc_scores,155,num__PC1_x_vbur_near_vtot_vburminconf,vbur_near_vtot_vburminconf,ligand
pc_scores,156,num__PC1_x_vbur_far_vtot_boltz,vbur_far_vtot_boltz,ligand
pc_scores,157,num__PC1_x_vbur_far_vtot_min,vbur_far_vtot_min,ligand
pc_scores,158,num__PC1_x_vbur_far_vtot_max,vbur_far_vtot_max,ligand
pc_scores,159,num__PC1_x_vbur_far_vtot_delta,vbur_far_vtot_delta,ligand
pc_scores,160,num__PC1_x_vbur_far_vtot_vburminconf,vbur_far_vtot_vburminconf,ligand
pc_scores,161,num__PC1_x_sterimol_B1_boltz,sterimol_B1_boltz,ligand
pc_scores,162,num__PC1_x_sterimol_B1_min,sterimol_B1_min,ligand
pc_scores,163,num__PC1_x_sterimol_B1_max,sterimol_B1_max,ligand
pc_scores,164,num__PC1_x_sterimol_B1_delta,sterimol_B1_delta,ligand
pc_scores,165,num__PC1_x_sterimol_B1_vburminconf,sterimol_B1_vburminconf,ligand
pc_scores,166,num__PC1_x_sterimol_B5_boltz,sterimol_B5_boltz,ligand
pc_scores,167,num__PC1_x_sterimol_B5_min,sterimol_B5_min,ligand
pc_scores,168,num__PC1_x_sterimol_B5_max,sterimol_B5_max,ligand
pc_scores,169,num__PC1_x_sterimol_B5_delta,sterimol_B5_delta,ligand
pc_scores,170,num__PC1_x_sterimol_B5_vburminconf,sterimol_B5_vburminconf,ligand
