model,position,feature,source_field,block
selected_2,1,num__vbur_pct_boltz,vbur_pct_boltz,ligand
selected_2,2,num__vbur_pct_min,vbur_pct_min,ligand
selected_2,3,"cat__Reactant_1_Short_Hand_1a, 6-Cl-Q",Reactant_1_Short_Hand,shared_categorical
selected_2,4,"cat__Reactant_1_Short_Hand_1b, 6-Br-Q",Reactant_1_Short_Hand,shared_categorical
selected_2,5,"cat__Reactant_1_Short_Hand_1c, 6-OTf-Q",Reactant_1_Short_Hand,shared_categorical
selected_2,6,"cat__Reactant_1_Short_Hand_1d, 6-I-Q",Reactant_1_Short_Hand,shared_categorical
selected_2,7,cat__Reagent_1_Short_Hand_CsF,Reagent_1_Short_Hand,shared_categorical
selected_2,8,cat__Reagent_1_Short_Hand_Et3N,Reagent_1_Short_Hand,shared_categorical
selected_2,9,cat__Reagent_1_Short_Hand_K3PO4,Reagent_1_Short_Hand,shared_categorical
selected_2,10,cat__Reagent_1_Short_Hand_KOH,Reagent_1_Short_Hand,shared_categorical
selected_2,11,cat__Reagent_1_Short_Hand_LiOtBu,Reagent_1_Short_Hand,shared_categorical
selected_2,12,cat__Reagent_1_Short_Hand_NaHCO3,Reagent_1_Short_Hand,shared_categorical
selected_2,13,cat__Reagent_1_Short_Hand_NaOH,Reagent_1_Short_Hand,shared_categorical
selected_2,14,cat__Reagent_1_Short_Hand_None,Reagent_1_Short_Hand,shared_categorical
selected_2,15,cat__Solvent_1_Short_Hand_DMF,Solvent_1_Short_Hand,shared_categorical
selected_2,16,cat__Solvent_1_Short_Hand_MeCN,Solvent_1_Short_Hand,shared_categorical
selected_2,17,cat__Solvent_1_Short_Hand_MeOH,Solvent_1_Short_Hand,shared_categorical
selected_2,18,cat__Solvent_1_Short_Hand_THF,Solvent_1_Short_Hand,shared_categorical
selected_2,19,cat__substrate_pair_1a_2a,substrate_pair,shared_categorical
selected_2,20,cat__substrate_pair_1a_2b,substrate_pair,shared_categorical
selected_2,21,cat__substrate_pair_1a_2c,substrate_pair,shared_categorical
selected_2,22,cat__substrate_pair_1b_2a,substrate_pair,shared_categorical
selected_2,23,cat__substrate_pair_1b_2b,substrate_pair,shared_categorical
selected_2,24,cat__substrate_pair_1b_2c,substrate_pair,shared_categorical
selected_2,25,cat__substrate_pair_1c_2a,substrate_pair,shared_categorical
selected_2,26,cat__substrate_pair_1c_2b,substrate_pair,shared_categorical
selected_2,27,cat__substrate_pair_1c_2c,substrate_pair,shared_categorical
selected_2,28,cat__substrate_pair_1d_2a,substrate_pair,shared_categorical
selected_2,29,cat__substrate_pair_1d_2b,substrate_pair,shared_categorical
selected_2,30,cat__substrate_pair_1d_2c,substrate_pair,shared_categorical
pc_top,1,num__vbur_vtot_boltz,vbur_vtot_boltz,ligand
pc_top,2,num__volume_boltz,volume_boltz,ligand
pc_top,3,num__vbur_near_vtot_vburminconf,vbur_near_vtot_vburminconf,ligand
pc_top,4,num__pyr_P_max,pyr_P_max,ligand
pc_top,5,num__qpole_amp_max,qpole_amp_max,ligand
pc_top,6,num__vbur_qvbur_min_min,vbur_qvbur_min_min,ligand
pc_top,7,num__vbur_near_vbur_delta,vbur_near_vbur_delta,ligand
pc_top,8,num__vbur_vbur_delta,vbur_vbur_delta,ligand
pc_top,9,num__vbur_qvbur_min_delta,vbur_qvbur_min_delta,ligand
pc_top,10,num__nbo_bds_occ_avg_boltz,nbo_bds_occ_avg_boltz,ligand
pc_top,11,num__efgtens_zz_P_boltz,efgtens_zz_P_boltz,ligand
pc_top,12,num__nmr_P_boltz,nmr_P_boltz,ligand
pc_top,13,"cat__Reactant_1_Short_Hand_1a, 6-Cl-Q",Reactant_1_Short_Hand,shared_categorical
pc_top,14,"cat__Reactant_1_Short_Hand_1b, 6-Br-Q",Reactant_1_Short_Hand,shared_categorical
pc_top,15,"cat__Reactant_1_Short_Hand_1c, 6-OTf-Q",Reactant_1_Short_Hand,shared_categorical
pc_top,16,"cat__Reactant_1_Short_Hand_1d, 6-I-Q",Reactant_1_Short_Hand,shared_categorical
pc_top,17,cat__Reagent_1_Short_Hand_CsF,Reagent_1_Short_Hand,shared_categorical
pc_top,18,cat__Reagent_1_Short_Hand_Et3N,Reagent_1_Short_Hand,shared_categorical
pc_top,19,cat__Reagent_1_Short_Hand_K3PO4,Reagent_1_Short_Hand,shared_categorical
pc_top,20,cat__Reagent_1_Short_Hand_KOH,Reagent_1_Short_Hand,shared_categorical
pc_top,21,cat__Reagent_1_Short_Hand_LiOtBu,Reagent_1_Short_Hand,shared_categorical
pc_top,22,cat__Reagent_1_Short_Hand_NaHCO3,Reagent_1_Short_Hand,shared_categorical
pc_top,23,cat__Reagent_1_Short_Hand_NaOH,Reagent_1_Short_Hand,shared_categorical
pc_top,24,cat__Reagent_1_Short_Hand_None,Reagent_1_Short_Hand,shared_categorical
pc_top,25,cat__Solvent_1_Short_Hand_DMF,Solvent_1_Short_Hand,shared_categorical
pc_top,26,cat__Solvent_1_Short_Hand_MeCN,Solvent_1_Short_Hand,shared_categorical
pc_top,27,cat__Solvent_1_Short_Hand_MeOH,Solvent_1_Short_Hand,shared_categorical
pc_top,28,cat__Solvent_1_Short_Hand_THF,Solvent_1_Short_Hand,shared_categorical
pc_top,29,cat__substrate_pair_1a_2a,substrate_pair,shared_categorical
pc_top,30,cat__substrate_pair_1a_2b,substrate_pair,shared_categorical
pc_top,31,cat__substrate_pair_1a_2c,substrate_pair,shared_categorical
pc_top,32,cat__substrate_pair_1b_2a,substrate_pair,shared_categorical
pc_top,33,cat__substrate_pair_1b_2b,substrate_pair,shared_categorical
pc_top,34,cat__substrate_pair_1b_2c,substrate_pair,shared_categorical
pc_top,35,cat__substrate_pair_1c_2a,substrate_pair,shared_categorical
pc_top,36,cat__substrate_pair_1c_2b,substrate_pair,shared_categorical
pc_top,37,cat__substrate_pair_1c_2c,substrate_pair,shared_categorical
pc_top,38,cat__substrate_pair_1d_2a,substrate_pair,shared_categorical
pc_top,39,cat__substrate_pair_1d_2b,substrate_pair,shared_categorical
pc_top,40,cat__substrate_pair_1d_2c,substrate_pair,shared_categorical
pc_scores,1,num__PC1,PC1,ligand
pc_scores,2,num__PC2,PC2,ligand
pc_scores,3,num__PC3,PC3,ligand
pc_scores,4,num__PC4,PC4,ligand
pc_scores,5,"cat__Reactant_1_Short_Hand_1a, 6-Cl-Q",Reactant_1_Short_Hand,shared_categorical
pc_scores,6,"cat__Reactant_1_Short_Hand_1b, 6-Br-Q",Reactant_1_Short_Hand,shared_categorical
pc_scores,7,"cat__Reactant_1_Short_Hand_1c, 6-OTf-Q",Reactant_1_Short_Hand,shared_categorical
pc_scores,8,"cat__Reactant_1_Short_Hand_1d, 6-I-Q",Reactant_1_Short_Hand,shared_categorical
pc_scores,9,cat__Reagent_1_Short_Hand_CsF,Reagent_1_Short_Hand,shared_categorical
pc_scores,10,cat__Reagent_1_Short_Hand_Et3N,Reagent_1_Short_Hand,shared_categorical
pc_scores,11,cat__Reagent_1_Short_Hand_K3PO4,Reagent_1_Short_Hand,shared_categorical
pc_scores,12,cat__Reagent_1_Short_Hand_KOH,Reagent_1_Short_Hand,shared_categorical
pc_scores,13,cat__Reagent_1_Short_Hand_LiOtBu,Reagent_1_Short_Hand,shared_categorical
pc_scores,14,cat__Reagent_1_Short_Hand_NaHCO3,Reagent_1_Short_Hand,shared_categorical
pc_scores,15,cat__Reagent_1_Short_Hand_NaOH,Reagent_1_Short_Hand,shared_categorical
pc_scores,16,cat__Reagent_1_Short_Hand_None,Reagent_1_Short_Hand,shared_categorical
pc_scores,17,cat__Solvent_1_Short_Hand_DMF,Solvent_1_Short_Hand,shared_categorical
pc_scores,18,cat__Solvent_1_Short_Hand_MeCN,Solvent_1_Short_Hand,shared_categorical
pc_scores,19,cat__Solvent_1_Short_Hand_MeOH,Solvent_1_Short_Hand,shared_categorical
pc_scores,20,cat__Solvent_1_Short_Hand_THF,Solvent_1_Short_Hand,shared_categorical
pc_scores,21,cat__substrate_pair_1a_2a,substrate_pair,shared_categorical
pc_scores,22,cat__substrate_pair_1a_2b,substrate_pair,shared_categorical
pc_scores,23,cat__substrate_pair_1a_2c,substrate_pair,shared_categorical
pc_scores,24,cat__substrate_pair_1b_2a,substrate_pair,shared_categorical
pc_scores,25,cat__substrate_pair_1b_2b,substrate_pair,shared_categorical
pc_scores,26,cat__substrate_pair_1b_2c,substrate_pair,shared_categorical
pc_scores,27,cat__substrate_pair_1c_2a,substrate_pair,shared_categorical
pc_scores,28,cat__substrate_pair_1c_2b,substrate_pair,shared_categorical
pc_scores,29,cat__substrate_pair_1c_2c,substrate_pair,shared_categorical
pc_scores,30,cat__substrate_pair_1d_2a,substrate_pair,shared_categorical
pc_scores,31,cat__substrate_pair_1d_2b,substrate_pair,shared_categorical
pc_scores,32,cat__substrate_pair_1d_2c,substrate_pair,shared_categorical
