model,position,feature,block
ligand_ohe,31,cat__additive_5-phenylisoxazole,categorical
ligand_ohe,32,"cat__additive_N,N-dibenzylisoxazol-3-amine",categorical
ligand_ohe,33,"cat__additive_N,N-dibenzylisoxazol-5-amine",categorical
ligand_ohe,34,cat__additive_benzo[c]isoxazole,categorical
ligand_ohe,35,cat__additive_benzo[d]isoxazole,categorical
ligand_ohe,36,cat__additive_ethyl-3-methoxyisoxazole-5-carboxylate,categorical
ligand_ohe,37,cat__additive_ethyl-3-methylisoxazole-5-carboxylate,categorical
ligand_ohe,38,cat__additive_ethyl-5-methylisoxazole-3-carboxylate,categorical
ligand_ohe,39,cat__additive_ethyl-5-methylisoxazole-4-carboxylate,categorical
ligand_ohe,40,cat__additive_ethyl-isoxazole-3-carboxylate,categorical
ligand_ohe,41,cat__additive_ethyl-isoxazole-4-carboxylate,categorical
ligand_ohe,42,cat__additive_methyl-5-(furan-2-yl)isoxazole-3-carboxylate,categorical
ligand_ohe,43,cat__additive_methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,categorical
ligand_ohe,44,cat__additive_methyl-isoxazole-5-carboxylate,categorical
selected_2,1,num__vbur_pct_boltz,ligand
selected_2,2,num__vbur_pct_min,ligand
selected_2,3,cat__aryl_halide_1-bromo-4-(trifluoromethyl)benzene,categorical
selected_2,4,cat__aryl_halide_1-bromo-4-ethylbenzene,categorical
selected_2,5,cat__aryl_halide_1-bromo-4-methoxybenzene,categorical
selected_2,6,cat__aryl_halide_1-chloro-4-(trifluoromethyl)benzene,categorical
selected_2,7,cat__aryl_halide_1-chloro-4-ethylbenzene,categorical
selected_2,8,cat__aryl_halide_1-chloro-4-methoxybenzene,categorical
selected_2,9,cat__aryl_halide_1-ethyl-4-iodobenzene,categorical
selected_2,10,cat__aryl_halide_1-iodo-4-(trifluoromethyl)benzene,categorical
selected_2,11,cat__aryl_halide_1-iodo-4-methoxybenzene,categorical
selected_2,12,cat__aryl_halide_2-bromopyridine,categorical
selected_2,13,cat__aryl_halide_2-chloropyridine,categorical
selected_2,14,cat__aryl_halide_2-iodopyridine,categorical
selected_2,15,cat__aryl_halide_3-bromopyridine,categorical
selected_2,16,cat__aryl_halide_3-chloropyridine,categorical
selected_2,17,cat__aryl_halide_3-iodopyridine,categorical
selected_2,18,cat__base_BTMG,categorical
selected_2,19,cat__base_MTBD,categorical
selected_2,20,cat__base_P2Et,categorical
selected_2,21,"cat__additive_3,5-dimethylisoxazole",categorical
selected_2,22,cat__additive_3-methyl-5-phenylisoxazole,categorical
selected_2,23,cat__additive_3-methylisoxazole,categorical
selected_2,24,cat__additive_3-phenylisoxazole,categorical
selected_2,25,cat__additive_4-phenylisoxazole,categorical
selected_2,26,"cat__additive_5-(2,6-difluorophenyl)isoxazole",categorical
selected_2,27,cat__additive_5-methyl-3-(1H-pyrrol-1-yl)isoxazole,categorical
selected_2,28,cat__additive_5-methylisoxazole,categorical
selected_2,29,cat__additive_5-phenylisoxazole,categorical
selected_2,30,"cat__additive_N,N-dibenzylisoxazol-3-amine",categorical
selected_2,31,"cat__additive_N,N-dibenzylisoxazol-5-amine",categorical
selected_2,32,cat__additive_benzo[c]isoxazole,categorical
selected_2,33,cat__additive_benzo[d]isoxazole,categorical
selected_2,34,cat__additive_ethyl-3-methoxyisoxazole-5-carboxylate,categorical
selected_2,35,cat__additive_ethyl-3-methylisoxazole-5-carboxylate,categorical
selected_2,36,cat__additive_ethyl-5-methylisoxazole-3-carboxylate,categorical
selected_2,37,cat__additive_ethyl-5-methylisoxazole-4-carboxylate,categorical
selected_2,38,cat__additive_ethyl-isoxazole-3-carboxylate,categorical
selected_2,39,cat__additive_ethyl-isoxazole-4-carboxylate,categorical
selected_2,40,cat__additive_methyl-5-(furan-2-yl)isoxazole-3-carboxylate,categorical
selected_2,41,cat__additive_methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,categorical
selected_2,42,cat__additive_methyl-isoxazole-5-carboxylate,categorical
selected_5,1,num__vbur_pct_boltz,ligand
selected_5,2,num__vbur_pct_min,ligand
selected_5,3,num__vbur_pct_delta,ligand
selected_5,4,num__dipolemoment_boltz,ligand
selected_5,5,num__homo_lumo_gap_eV,ligand
selected_5,6,cat__aryl_halide_1-bromo-4-(trifluoromethyl)benzene,categorical
selected_5,7,cat__aryl_halide_1-bromo-4-ethylbenzene,categorical
selected_5,8,cat__aryl_halide_1-bromo-4-methoxybenzene,categorical
selected_5,9,cat__aryl_halide_1-chloro-4-(trifluoromethyl)benzene,categorical
selected_5,10,cat__aryl_halide_1-chloro-4-ethylbenzene,categorical
selected_5,11,cat__aryl_halide_1-chloro-4-methoxybenzene,categorical
selected_5,12,cat__aryl_halide_1-ethyl-4-iodobenzene,categorical
selected_5,13,cat__aryl_halide_1-iodo-4-(trifluoromethyl)benzene,categorical
selected_5,14,cat__aryl_halide_1-iodo-4-methoxybenzene,categorical
selected_5,15,cat__aryl_halide_2-bromopyridine,categorical
selected_5,16,cat__aryl_halide_2-chloropyridine,categorical
selected_5,17,cat__aryl_halide_2-iodopyridine,categorical
selected_5,18,cat__aryl_halide_3-bromopyridine,categorical
selected_5,19,cat__aryl_halide_3-chloropyridine,categorical
selected_5,20,cat__aryl_halide_3-iodopyridine,categorical
selected_5,21,cat__base_BTMG,categorical
selected_5,22,cat__base_MTBD,categorical
selected_5,23,cat__base_P2Et,categorical
selected_5,24,"cat__additive_3,5-dimethylisoxazole",categorical
selected_5,25,cat__additive_3-methyl-5-phenylisoxazole,categorical
selected_5,26,cat__additive_3-methylisoxazole,categorical
selected_5,27,cat__additive_3-phenylisoxazole,categorical
selected_5,28,cat__additive_4-phenylisoxazole,categorical
selected_5,29,"cat__additive_5-(2,6-difluorophenyl)isoxazole",categorical
selected_5,30,cat__additive_5-methyl-3-(1H-pyrrol-1-yl)isoxazole,categorical
selected_5,31,cat__additive_5-methylisoxazole,categorical
selected_5,32,cat__additive_5-phenylisoxazole,categorical
selected_5,33,"cat__additive_N,N-dibenzylisoxazol-3-amine",categorical
selected_5,34,"cat__additive_N,N-dibenzylisoxazol-5-amine",categorical
selected_5,35,cat__additive_benzo[c]isoxazole,categorical
selected_5,36,cat__additive_benzo[d]isoxazole,categorical
selected_5,37,cat__additive_ethyl-3-methoxyisoxazole-5-carboxylate,categorical
selected_5,38,cat__additive_ethyl-3-methylisoxazole-5-carboxylate,categorical
selected_5,39,cat__additive_ethyl-5-methylisoxazole-3-carboxylate,categorical
selected_5,40,cat__additive_ethyl-5-methylisoxazole-4-carboxylate,categorical
selected_5,41,cat__additive_ethyl-isoxazole-3-carboxylate,categorical
selected_5,42,cat__additive_ethyl-isoxazole-4-carboxylate,categorical
selected_5,43,cat__additive_methyl-5-(furan-2-yl)isoxazole-3-carboxylate,categorical
selected_5,44,cat__additive_methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,categorical
selected_5,45,cat__additive_methyl-isoxazole-5-carboxylate,categorical
pc_top,1,num__vbur_vtot_boltz,ligand
pc_top,2,num__volume_boltz,ligand
pc_top,3,num__vbur_near_vtot_vburminconf,ligand
pc_top,4,num__pyr_P_max,ligand
pc_top,5,num__qpole_amp_max,ligand
pc_top,6,num__vbur_qvbur_min_min,ligand
pc_top,7,num__vbur_near_vbur_delta,ligand
pc_top,8,num__vbur_vbur_delta,ligand
pc_top,9,num__vbur_qvbur_min_delta,ligand
pc_top,10,num__nbo_bds_occ_avg_boltz,ligand
pc_top,11,num__efgtens_zz_P_boltz,ligand
pc_top,12,num__nmr_P_boltz,ligand
pc_top,13,cat__aryl_halide_1-bromo-4-(trifluoromethyl)benzene,categorical
pc_top,14,cat__aryl_halide_1-bromo-4-ethylbenzene,categorical
pc_top,15,cat__aryl_halide_1-bromo-4-methoxybenzene,categorical
pc_top,16,cat__aryl_halide_1-chloro-4-(trifluoromethyl)benzene,categorical
pc_top,17,cat__aryl_halide_1-chloro-4-ethylbenzene,categorical
pc_top,18,cat__aryl_halide_1-chloro-4-methoxybenzene,categorical
pc_top,19,cat__aryl_halide_1-ethyl-4-iodobenzene,categorical
pc_top,20,cat__aryl_halide_1-iodo-4-(trifluoromethyl)benzene,categorical
pc_top,21,cat__aryl_halide_1-iodo-4-methoxybenzene,categorical
pc_top,22,cat__aryl_halide_2-bromopyridine,categorical
pc_top,23,cat__aryl_halide_2-chloropyridine,categorical
pc_top,24,cat__aryl_halide_2-iodopyridine,categorical
pc_top,25,cat__aryl_halide_3-bromopyridine,categorical
pc_top,26,cat__aryl_halide_3-chloropyridine,categorical
pc_top,27,cat__aryl_halide_3-iodopyridine,categorical
pc_top,28,cat__base_BTMG,categorical
pc_top,29,cat__base_MTBD,categorical
pc_top,30,cat__base_P2Et,categorical
pc_top,31,"cat__additive_3,5-dimethylisoxazole",categorical
pc_top,32,cat__additive_3-methyl-5-phenylisoxazole,categorical
pc_top,33,cat__additive_3-methylisoxazole,categorical
pc_top,34,cat__additive_3-phenylisoxazole,categorical
pc_top,35,cat__additive_4-phenylisoxazole,categorical
pc_top,36,"cat__additive_5-(2,6-difluorophenyl)isoxazole",categorical
pc_top,37,cat__additive_5-methyl-3-(1H-pyrrol-1-yl)isoxazole,categorical
pc_top,38,cat__additive_5-methylisoxazole,categorical
pc_top,39,cat__additive_5-phenylisoxazole,categorical
pc_top,40,"cat__additive_N,N-dibenzylisoxazol-3-amine",categorical
pc_top,41,"cat__additive_N,N-dibenzylisoxazol-5-amine",categorical
pc_top,42,cat__additive_benzo[c]isoxazole,categorical
pc_top,43,cat__additive_benzo[d]isoxazole,categorical
pc_top,44,cat__additive_ethyl-3-methoxyisoxazole-5-carboxylate,categorical
pc_top,45,cat__additive_ethyl-3-methylisoxazole-5-carboxylate,categorical
pc_top,46,cat__additive_ethyl-5-methylisoxazole-3-carboxylate,categorical
pc_top,47,cat__additive_ethyl-5-methylisoxazole-4-carboxylate,categorical
pc_top,48,cat__additive_ethyl-isoxazole-3-carboxylate,categorical
pc_top,49,cat__additive_ethyl-isoxazole-4-carboxylate,categorical
pc_top,50,cat__additive_methyl-5-(furan-2-yl)isoxazole-3-carboxylate,categorical
pc_top,51,cat__additive_methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,categorical
pc_top,52,cat__additive_methyl-isoxazole-5-carboxylate,categorical
pc_scores,1,num__PC1,ligand
pc_scores,2,num__PC2,ligand
pc_scores,3,num__PC3,ligand
pc_scores,4,num__PC4,ligand
pc_scores,5,cat__aryl_halide_1-bromo-4-(trifluoromethyl)benzene,categorical
pc_scores,6,cat__aryl_halide_1-bromo-4-ethylbenzene,categorical
pc_scores,7,cat__aryl_halide_1-bromo-4-methoxybenzene,categorical
pc_scores,8,cat__aryl_halide_1-chloro-4-(trifluoromethyl)benzene,categorical
pc_scores,9,cat__aryl_halide_1-chloro-4-ethylbenzene,categorical
pc_scores,10,cat__aryl_halide_1-chloro-4-methoxybenzene,categorical
pc_scores,11,cat__aryl_halide_1-ethyl-4-iodobenzene,categorical
pc_scores,12,cat__aryl_halide_1-iodo-4-(trifluoromethyl)benzene,categorical
pc_scores,13,cat__aryl_halide_1-iodo-4-methoxybenzene,categorical
pc_scores,14,cat__aryl_halide_2-bromopyridine,categorical
pc_scores,15,cat__aryl_halide_2-chloropyridine,categorical
pc_scores,16,cat__aryl_halide_2-iodopyridine,categorical
pc_scores,17,cat__aryl_halide_3-bromopyridine,categorical
pc_scores,18,cat__aryl_halide_3-chloropyridine,categorical
pc_scores,19,cat__aryl_halide_3-iodopyridine,categorical
pc_scores,20,cat__base_BTMG,categorical
pc_scores,21,cat__base_MTBD,categorical
pc_scores,22,cat__base_P2Et,categorical
pc_scores,23,"cat__additive_3,5-dimethylisoxazole",categorical
pc_scores,24,cat__additive_3-methyl-5-phenylisoxazole,categorical
pc_scores,25,cat__additive_3-methylisoxazole,categorical
pc_scores,26,cat__additive_3-phenylisoxazole,categorical
pc_scores,27,cat__additive_4-phenylisoxazole,categorical
pc_scores,28,"cat__additive_5-(2,6-difluorophenyl)isoxazole",categorical
pc_scores,29,cat__additive_5-methyl-3-(1H-pyrrol-1-yl)isoxazole,categorical
pc_scores,30,cat__additive_5-methylisoxazole,categorical
pc_scores,31,cat__additive_5-phenylisoxazole,categorical
pc_scores,32,"cat__additive_N,N-dibenzylisoxazol-3-amine",categorical
pc_scores,33,"cat__additive_N,N-dibenzylisoxazol-5-amine",categorical
pc_scores,34,cat__additive_benzo[c]isoxazole,categorical
pc_scores,35,cat__additive_benzo[d]isoxazole,categorical
pc_scores,36,cat__additive_ethyl-3-methoxyisoxazole-5-carboxylate,categorical
pc_scores,37,cat__additive_ethyl-3-methylisoxazole-5-carboxylate,categorical
pc_scores,38,cat__additive_ethyl-5-methylisoxazole-3-carboxylate,categorical
pc_scores,39,cat__additive_ethyl-5-methylisoxazole-4-carboxylate,categorical
pc_scores,40,cat__additive_ethyl-isoxazole-3-carboxylate,categorical
pc_scores,41,cat__additive_ethyl-isoxazole-4-carboxylate,categorical
pc_scores,42,cat__additive_methyl-5-(furan-2-yl)isoxazole-3-carboxylate,categorical
pc_scores,43,cat__additive_methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,categorical
pc_scores,44,cat__additive_methyl-isoxazole-5-carboxylate,categorical
rxnpredict_full,1,num__ligand_*C10_NMR_shift,rxnpredict
rxnpredict_full,2,num__ligand_*C10_electrostatic_charge,rxnpredict
rxnpredict_full,3,num__ligand_*C11_NMR_shift,rxnpredict
rxnpredict_full,4,num__ligand_*C11_electrostatic_charge,rxnpredict
rxnpredict_full,5,num__ligand_*C12_NMR_shift,rxnpredict
rxnpredict_full,6,num__ligand_*C12_electrostatic_charge,rxnpredict
rxnpredict_full,7,num__ligand_*C13_NMR_shift,rxnpredict
rxnpredict_full,8,num__ligand_*C13_electrostatic_charge,rxnpredict
rxnpredict_full,9,num__ligand_*C14_NMR_shift,rxnpredict
rxnpredict_full,10,num__ligand_*C14_electrostatic_charge,rxnpredict
rxnpredict_full,11,num__ligand_*C15_NMR_shift,rxnpredict
rxnpredict_full,12,num__ligand_*C15_electrostatic_charge,rxnpredict
rxnpredict_full,13,num__ligand_*C16_NMR_shift,rxnpredict
rxnpredict_full,14,num__ligand_*C16_electrostatic_charge,rxnpredict
rxnpredict_full,15,num__ligand_*C17_NMR_shift,rxnpredict
rxnpredict_full,16,num__ligand_*C17_electrostatic_charge,rxnpredict
rxnpredict_full,17,num__ligand_*C1_NMR_shift,rxnpredict
rxnpredict_full,18,num__ligand_*C1_electrostatic_charge,rxnpredict
rxnpredict_full,19,num__ligand_*C2_NMR_shift,rxnpredict
rxnpredict_full,20,num__ligand_*C2_electrostatic_charge,rxnpredict
rxnpredict_full,21,num__ligand_*C3_NMR_shift,rxnpredict
rxnpredict_full,22,num__ligand_*C3_electrostatic_charge,rxnpredict
rxnpredict_full,23,num__ligand_*C4_NMR_shift,rxnpredict
rxnpredict_full,24,num__ligand_*C4_electrostatic_charge,rxnpredict
rxnpredict_full,25,num__ligand_*C5_NMR_shift,rxnpredict
rxnpredict_full,26,num__ligand_*C5_electrostatic_charge,rxnpredict
rxnpredict_full,27,num__ligand_*C6_NMR_shift,rxnpredict
rxnpredict_full,28,num__ligand_*C6_electrostatic_charge,rxnpredict
rxnpredict_full,29,num__ligand_*C7_NMR_shift,rxnpredict
rxnpredict_full,30,num__ligand_*C7_electrostatic_charge,rxnpredict
rxnpredict_full,31,num__ligand_*C8_NMR_shift,rxnpredict
rxnpredict_full,32,num__ligand_*C8_electrostatic_charge,rxnpredict
rxnpredict_full,33,num__ligand_*C9_NMR_shift,rxnpredict
rxnpredict_full,34,num__ligand_*C9_electrostatic_charge,rxnpredict
rxnpredict_full,35,num__ligand_*H11_NMR_shift,rxnpredict
rxnpredict_full,36,num__ligand_*H11_electrostatic_charge,rxnpredict
rxnpredict_full,37,num__ligand_*H3_NMR_shift,rxnpredict
rxnpredict_full,38,num__ligand_*H3_electrostatic_charge,rxnpredict
rxnpredict_full,39,num__ligand_*H4_NMR_shift,rxnpredict
rxnpredict_full,40,num__ligand_*H4_electrostatic_charge,rxnpredict
rxnpredict_full,41,num__ligand_*H9_NMR_shift,rxnpredict
rxnpredict_full,42,num__ligand_*H9_electrostatic_charge,rxnpredict
rxnpredict_full,43,num__ligand_*P1_electrostatic_charge,rxnpredict
rxnpredict_full,44,num__ligand_V10_frequency,rxnpredict
rxnpredict_full,45,num__ligand_V10_intensity,rxnpredict
rxnpredict_full,46,num__ligand_V1_frequency,rxnpredict
rxnpredict_full,47,num__ligand_V1_intensity,rxnpredict
rxnpredict_full,48,num__ligand_V2_frequency,rxnpredict
rxnpredict_full,49,num__ligand_V2_intensity,rxnpredict
rxnpredict_full,50,num__ligand_V3_frequency,rxnpredict
rxnpredict_full,51,num__ligand_V3_intensity,rxnpredict
rxnpredict_full,52,num__ligand_V4_frequency,rxnpredict
rxnpredict_full,53,num__ligand_V4_intensity,rxnpredict
rxnpredict_full,54,num__ligand_V5_frequency,rxnpredict
rxnpredict_full,55,num__ligand_V5_intensity,rxnpredict
rxnpredict_full,56,num__ligand_V6_frequency,rxnpredict
rxnpredict_full,57,num__ligand_V6_intensity,rxnpredict
rxnpredict_full,58,num__ligand_V7_frequency,rxnpredict
rxnpredict_full,59,num__ligand_V7_intensity,rxnpredict
rxnpredict_full,60,num__ligand_V8_frequency,rxnpredict
rxnpredict_full,61,num__ligand_V8_intensity,rxnpredict
rxnpredict_full,62,num__ligand_V9_frequency,rxnpredict
rxnpredict_full,63,num__ligand_V9_intensity,rxnpredict
rxnpredict_full,64,num__ligand_dipole_moment,rxnpredict
rxnpredict_full,65,num__base_*N1_electrostatic_charge,rxnpredict
rxnpredict_full,66,num__base_E_HOMO,rxnpredict
rxnpredict_full,67,num__base_E_LUMO,rxnpredict
rxnpredict_full,68,num__base_dipole_moment,rxnpredict
rxnpredict_full,69,num__base_electronegativity,rxnpredict
rxnpredict_full,70,num__base_hardness,rxnpredict
rxnpredict_full,71,num__base_molecular_volume,rxnpredict
rxnpredict_full,72,num__base_molecular_weight,rxnpredict
rxnpredict_full,73,num__base_ovality,rxnpredict
rxnpredict_full,74,num__base_surface_area,rxnpredict
rxnpredict_full,75,num__aryl_halide_*C1_NMR_shift,rxnpredict
rxnpredict_full,76,num__aryl_halide_*C1_electrostatic_charge,rxnpredict
rxnpredict_full,77,num__aryl_halide_*C2_NMR_shift,rxnpredict
rxnpredict_full,78,num__aryl_halide_*C2_electrostatic_charge,rxnpredict
rxnpredict_full,79,num__aryl_halide_*C3_NMR_shift,rxnpredict
rxnpredict_full,80,num__aryl_halide_*C3_electrostatic_charge,rxnpredict
rxnpredict_full,81,num__aryl_halide_*C4_NMR_shift,rxnpredict
rxnpredict_full,82,num__aryl_halide_*C4_electrostatic_charge,rxnpredict
rxnpredict_full,83,num__aryl_halide_*H2_NMR_shift,rxnpredict
rxnpredict_full,84,num__aryl_halide_*H2_electrostatic_charge,rxnpredict
rxnpredict_full,85,num__aryl_halide_*H3_NMR_shift,rxnpredict
rxnpredict_full,86,num__aryl_halide_*H3_electrostatic_charge,rxnpredict
rxnpredict_full,87,num__aryl_halide_E_HOMO,rxnpredict
rxnpredict_full,88,num__aryl_halide_E_LUMO,rxnpredict
rxnpredict_full,89,num__aryl_halide_V1_frequency,rxnpredict
rxnpredict_full,90,num__aryl_halide_V1_intensity,rxnpredict
rxnpredict_full,91,num__aryl_halide_V2_frequency,rxnpredict
rxnpredict_full,92,num__aryl_halide_V2_intensity,rxnpredict
rxnpredict_full,93,num__aryl_halide_V3_frequency,rxnpredict
rxnpredict_full,94,num__aryl_halide_V3_intensity,rxnpredict
rxnpredict_full,95,num__aryl_halide_dipole_moment,rxnpredict
rxnpredict_full,96,num__aryl_halide_electronegativity,rxnpredict
rxnpredict_full,97,num__aryl_halide_hardness,rxnpredict
rxnpredict_full,98,num__aryl_halide_molecular_volume,rxnpredict
rxnpredict_full,99,num__aryl_halide_molecular_weight,rxnpredict
rxnpredict_full,100,num__aryl_halide_ovality,rxnpredict
rxnpredict_full,101,num__aryl_halide_surface_area,rxnpredict
rxnpredict_full,102,num__additive_*C3_NMR_shift,rxnpredict
rxnpredict_full,103,num__additive_*C3_electrostatic_charge,rxnpredict
rxnpredict_full,104,num__additive_*C4_NMR_shift,rxnpredict
rxnpredict_full,105,num__additive_*C4_electrostatic_charge,rxnpredict
rxnpredict_full,106,num__additive_*C5_NMR_shift,rxnpredict
rxnpredict_full,107,num__additive_*C5_electrostatic_charge,rxnpredict
rxnpredict_full,108,num__additive_*N1_electrostatic_charge,rxnpredict
rxnpredict_full,109,num__additive_*O1_electrostatic_charge,rxnpredict
rxnpredict_full,110,num__additive_E_HOMO,rxnpredict
rxnpredict_full,111,num__additive_E_LUMO,rxnpredict
rxnpredict_full,112,num__additive_V1_frequency,rxnpredict
rxnpredict_full,113,num__additive_V1_intensity,rxnpredict
rxnpredict_full,114,num__additive_dipole_moment,rxnpredict
rxnpredict_full,115,num__additive_electronegativity,rxnpredict
rxnpredict_full,116,num__additive_hardness,rxnpredict
rxnpredict_full,117,num__additive_molecular_volume,rxnpredict
rxnpredict_full,118,num__additive_molecular_weight,rxnpredict
rxnpredict_full,119,num__additive_ovality,rxnpredict
rxnpredict_full,120,num__additive_surface_area,rxnpredict
rxnpredict_full_ohe,1,num__ligand_*C10_NMR_shift,rxnpredict
rxnpredict_full_ohe,2,num__ligand_*C10_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,3,num__ligand_*C11_NMR_shift,rxnpredict
rxnpredict_full_ohe,4,num__ligand_*C11_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,5,num__ligand_*C12_NMR_shift,rxnpredict
rxnpredict_full_ohe,6,num__ligand_*C12_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,7,num__ligand_*C13_NMR_shift,rxnpredict
rxnpredict_full_ohe,8,num__ligand_*C13_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,9,num__ligand_*C14_NMR_shift,rxnpredict
rxnpredict_full_ohe,10,num__ligand_*C14_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,11,num__ligand_*C15_NMR_shift,rxnpredict
rxnpredict_full_ohe,12,num__ligand_*C15_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,13,num__ligand_*C16_NMR_shift,rxnpredict
rxnpredict_full_ohe,14,num__ligand_*C16_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,15,num__ligand_*C17_NMR_shift,rxnpredict
rxnpredict_full_ohe,16,num__ligand_*C17_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,17,num__ligand_*C1_NMR_shift,rxnpredict
rxnpredict_full_ohe,18,num__ligand_*C1_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,19,num__ligand_*C2_NMR_shift,rxnpredict
rxnpredict_full_ohe,20,num__ligand_*C2_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,21,num__ligand_*C3_NMR_shift,rxnpredict
rxnpredict_full_ohe,22,num__ligand_*C3_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,23,num__ligand_*C4_NMR_shift,rxnpredict
rxnpredict_full_ohe,24,num__ligand_*C4_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,25,num__ligand_*C5_NMR_shift,rxnpredict
rxnpredict_full_ohe,26,num__ligand_*C5_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,27,num__ligand_*C6_NMR_shift,rxnpredict
rxnpredict_full_ohe,28,num__ligand_*C6_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,29,num__ligand_*C7_NMR_shift,rxnpredict
rxnpredict_full_ohe,30,num__ligand_*C7_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,31,num__ligand_*C8_NMR_shift,rxnpredict
rxnpredict_full_ohe,32,num__ligand_*C8_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,33,num__ligand_*C9_NMR_shift,rxnpredict
rxnpredict_full_ohe,34,num__ligand_*C9_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,35,num__ligand_*H11_NMR_shift,rxnpredict
rxnpredict_full_ohe,36,num__ligand_*H11_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,37,num__ligand_*H3_NMR_shift,rxnpredict
rxnpredict_full_ohe,38,num__ligand_*H3_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,39,num__ligand_*H4_NMR_shift,rxnpredict
rxnpredict_full_ohe,40,num__ligand_*H4_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,41,num__ligand_*H9_NMR_shift,rxnpredict
rxnpredict_full_ohe,42,num__ligand_*H9_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,43,num__ligand_*P1_electrostatic_charge,rxnpredict
rxnpredict_full_ohe,44,num__ligand_V10_frequency,rxnpredict
rxnpredict_full_ohe,45,num__ligand_V10_intensity,rxnpredict
rxnpredict_full_ohe,46,num__ligand_V1_frequency,rxnpredict
rxnpredict_full_ohe,47,num__ligand_V1_intensity,rxnpredict
rxnpredict_full_ohe,48,num__ligand_V2_frequency,rxnpredict
rxnpredict_full_ohe,49,num__ligand_V2_intensity,rxnpredict
rxnpredict_full_ohe,50,num__ligand_V3_frequency,rxnpredict
rxnpredict_full_ohe,51,num__ligand_V3_intensity,rxnpredict
rxnpredict_full_ohe,52,num__ligand_V4_frequency,rxnpredict
rxnpredict_full_ohe,53,num__ligand_V4_intensity,rxnpredict
rxnpredict_full_ohe,54,num__ligand_V5_frequency,rxnpredict
rxnpredict_full_ohe,55,num__ligand_V5_intensity,rxnpredict
rxnpredict_full_ohe,56,num__ligand_V6_frequency,rxnpredict
