task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed
55,selected_5,split_001,iid_matched,AmPhos,0,0,2110739950.0,2688,384,42
56,selected_5,split_002,iid_matched,AmPhos,1,0,1391648318.0,2688,384,42
57,selected_5,split_003,iid_matched,AmPhos,2,0,2503568095.0,2688,384,42
58,selected_5,split_004,iid_matched,AmPhos,3,0,2350088279.0,2688,384,42
59,selected_5,split_005,iid_matched,AmPhos,4,0,3247081406.0,2688,384,42
60,selected_5,split_006,lolo,CataCXium A,0,1,,2688,384,42
61,selected_5,split_007,iid_matched,CataCXium A,0,1,3085377945.0,2688,384,42
62,selected_5,split_008,iid_matched,CataCXium A,1,1,3992813205.0,2688,384,42
63,selected_5,split_009,iid_matched,CataCXium A,2,1,3331582944.0,2688,384,42
64,selected_5,split_010,iid_matched,CataCXium A,3,1,1425948976.0,2688,384,42
65,selected_5,split_011,iid_matched,CataCXium A,4,1,3473989169.0,2688,384,42
66,selected_5,split_012,lolo,P(Cy)3,0,2,,2688,384,42
67,selected_5,split_013,iid_matched,P(Cy)3,0,2,1543309621.0,2688,384,42
68,selected_5,split_014,iid_matched,P(Cy)3,1,2,4212243904.0,2688,384,42
69,selected_5,split_015,iid_matched,P(Cy)3,2,2,2998352114.0,2688,384,42
70,selected_5,split_016,iid_matched,P(Cy)3,3,2,3561523259.0,2688,384,42
71,selected_5,split_017,iid_matched,P(Cy)3,4,2,487960984.0,2688,384,42
72,selected_5,split_018,lolo,P(Ph)3,0,3,,2688,384,42
73,selected_5,split_019,iid_matched,P(Ph)3,0,3,1863327358.0,2688,384,42
74,selected_5,split_020,iid_matched,P(Ph)3,1,3,2196199863.0,2688,384,42
75,selected_5,split_021,iid_matched,P(Ph)3,2,3,2370151141.0,2688,384,42
76,selected_5,split_022,iid_matched,P(Ph)3,3,3,1386322366.0,2688,384,42
77,selected_5,split_023,iid_matched,P(Ph)3,4,3,1717257290.0,2688,384,42
78,selected_5,split_024,lolo,P(o-Tol)3,0,4,,2688,384,42
79,selected_5,split_025,iid_matched,P(o-Tol)3,0,4,957872253.0,2688,384,42
80,selected_5,split_026,iid_matched,P(o-Tol)3,1,4,159318712.0,2688,384,42
81,selected_5,split_027,iid_matched,P(o-Tol)3,2,4,2995609731.0,2688,384,42
82,selected_5,split_028,iid_matched,P(o-Tol)3,3,4,3834639872.0,2688,384,42
83,selected_5,split_029,iid_matched,P(o-Tol)3,4,4,1096830298.0,2688,384,42
84,selected_5,split_030,lolo,P(tBu)3,0,5,,2688,384,42
85,selected_5,split_031,iid_matched,P(tBu)3,0,5,3903455144.0,2688,384,42
86,selected_5,split_032,iid_matched,P(tBu)3,1,5,1214467537.0,2688,384,42
87,selected_5,split_033,iid_matched,P(tBu)3,2,5,3518918101.0,2688,384,42
88,selected_5,split_034,iid_matched,P(tBu)3,3,5,3839849329.0,2688,384,42
89,selected_5,split_035,iid_matched,P(tBu)3,4,5,3820970956.0,2688,384,42
90,selected_5,split_036,lolo,SPhos,0,6,,2688,384,42
91,selected_5,split_037,iid_matched,SPhos,0,6,1091589161.0,2688,384,42
92,selected_5,split_038,iid_matched,SPhos,1,6,2885012696.0,2688,384,42
93,selected_5,split_039,iid_matched,SPhos,2,6,328363833.0,2688,384,42
94,selected_5,split_040,iid_matched,SPhos,3,6,607111100.0,2688,384,42
95,selected_5,split_041,iid_matched,SPhos,4,6,3785335315.0,2688,384,42
96,selected_5,split_042,lolo,XPhos,0,7,,2688,384,42
97,selected_5,split_043,iid_matched,XPhos,0,7,365121658.0,2688,384,42
98,selected_5,split_044,iid_matched,XPhos,1,7,1892714960.0,2688,384,42
99,selected_5,split_045,iid_matched,XPhos,2,7,2024858724.0,2688,384,42
100,selected_5,split_046,iid_matched,XPhos,3,7,2487897806.0,2688,384,42
101,selected_5,split_047,iid_matched,XPhos,4,7,2500767089.0,2688,384,42
102,selected_5,split_048,kfold,,0,0,42.0,2457,615,42
103,selected_5,split_049,kfold,,0,1,42.0,2457,615,42
104,selected_5,split_050,kfold,,0,2,42.0,2458,614,42
105,selected_5,split_051,kfold,,0,3,42.0,2458,614,42
106,selected_5,split_052,kfold,,0,4,42.0,2458,614,42
107,selected_5,split_053,holdout,,0,0,42.0,2457,615,42
108,selected_2,split_000,lolo,AmPhos,0,0,,2688,384,42
109,selected_2,split_001,iid_matched,AmPhos,0,0,2110739950.0,2688,384,42
110,selected_2,split_002,iid_matched,AmPhos,1,0,1391648318.0,2688,384,42
111,selected_2,split_003,iid_matched,AmPhos,2,0,2503568095.0,2688,384,42
112,selected_2,split_004,iid_matched,AmPhos,3,0,2350088279.0,2688,384,42
113,selected_2,split_005,iid_matched,AmPhos,4,0,3247081406.0,2688,384,42
114,selected_2,split_006,lolo,CataCXium A,0,1,,2688,384,42
115,selected_2,split_007,iid_matched,CataCXium A,0,1,3085377945.0,2688,384,42
116,selected_2,split_008,iid_matched,CataCXium A,1,1,3992813205.0,2688,384,42
117,selected_2,split_009,iid_matched,CataCXium A,2,1,3331582944.0,2688,384,42
118,selected_2,split_010,iid_matched,CataCXium A,3,1,1425948976.0,2688,384,42
119,selected_2,split_011,iid_matched,CataCXium A,4,1,3473989169.0,2688,384,42
120,selected_2,split_012,lolo,P(Cy)3,0,2,,2688,384,42
121,selected_2,split_013,iid_matched,P(Cy)3,0,2,1543309621.0,2688,384,42
122,selected_2,split_014,iid_matched,P(Cy)3,1,2,4212243904.0,2688,384,42
123,selected_2,split_015,iid_matched,P(Cy)3,2,2,2998352114.0,2688,384,42
124,selected_2,split_016,iid_matched,P(Cy)3,3,2,3561523259.0,2688,384,42
125,selected_2,split_017,iid_matched,P(Cy)3,4,2,487960984.0,2688,384,42
126,selected_2,split_018,lolo,P(Ph)3,0,3,,2688,384,42
127,selected_2,split_019,iid_matched,P(Ph)3,0,3,1863327358.0,2688,384,42
128,selected_2,split_020,iid_matched,P(Ph)3,1,3,2196199863.0,2688,384,42
129,selected_2,split_021,iid_matched,P(Ph)3,2,3,2370151141.0,2688,384,42
130,selected_2,split_022,iid_matched,P(Ph)3,3,3,1386322366.0,2688,384,42
131,selected_2,split_023,iid_matched,P(Ph)3,4,3,1717257290.0,2688,384,42
132,selected_2,split_024,lolo,P(o-Tol)3,0,4,,2688,384,42
133,selected_2,split_025,iid_matched,P(o-Tol)3,0,4,957872253.0,2688,384,42
134,selected_2,split_026,iid_matched,P(o-Tol)3,1,4,159318712.0,2688,384,42
135,selected_2,split_027,iid_matched,P(o-Tol)3,2,4,2995609731.0,2688,384,42
136,selected_2,split_028,iid_matched,P(o-Tol)3,3,4,3834639872.0,2688,384,42
137,selected_2,split_029,iid_matched,P(o-Tol)3,4,4,1096830298.0,2688,384,42
138,selected_2,split_030,lolo,P(tBu)3,0,5,,2688,384,42
139,selected_2,split_031,iid_matched,P(tBu)3,0,5,3903455144.0,2688,384,42
140,selected_2,split_032,iid_matched,P(tBu)3,1,5,1214467537.0,2688,384,42
141,selected_2,split_033,iid_matched,P(tBu)3,2,5,3518918101.0,2688,384,42
142,selected_2,split_034,iid_matched,P(tBu)3,3,5,3839849329.0,2688,384,42
143,selected_2,split_035,iid_matched,P(tBu)3,4,5,3820970956.0,2688,384,42
144,selected_2,split_036,lolo,SPhos,0,6,,2688,384,42
145,selected_2,split_037,iid_matched,SPhos,0,6,1091589161.0,2688,384,42
146,selected_2,split_038,iid_matched,SPhos,1,6,2885012696.0,2688,384,42
147,selected_2,split_039,iid_matched,SPhos,2,6,328363833.0,2688,384,42
148,selected_2,split_040,iid_matched,SPhos,3,6,607111100.0,2688,384,42
149,selected_2,split_041,iid_matched,SPhos,4,6,3785335315.0,2688,384,42
150,selected_2,split_042,lolo,XPhos,0,7,,2688,384,42
151,selected_2,split_043,iid_matched,XPhos,0,7,365121658.0,2688,384,42
152,selected_2,split_044,iid_matched,XPhos,1,7,1892714960.0,2688,384,42
153,selected_2,split_045,iid_matched,XPhos,2,7,2024858724.0,2688,384,42
154,selected_2,split_046,iid_matched,XPhos,3,7,2487897806.0,2688,384,42
155,selected_2,split_047,iid_matched,XPhos,4,7,2500767089.0,2688,384,42
156,selected_2,split_048,kfold,,0,0,42.0,2457,615,42
157,selected_2,split_049,kfold,,0,1,42.0,2457,615,42
158,selected_2,split_050,kfold,,0,2,42.0,2458,614,42
159,selected_2,split_051,kfold,,0,3,42.0,2458,614,42
160,selected_2,split_052,kfold,,0,4,42.0,2458,614,42
161,selected_2,split_053,holdout,,0,0,42.0,2457,615,42
162,pc_top,split_000,lolo,AmPhos,0,0,,2688,384,42
163,pc_top,split_001,iid_matched,AmPhos,0,0,2110739950.0,2688,384,42
164,pc_top,split_002,iid_matched,AmPhos,1,0,1391648318.0,2688,384,42
165,pc_top,split_003,iid_matched,AmPhos,2,0,2503568095.0,2688,384,42
166,pc_top,split_004,iid_matched,AmPhos,3,0,2350088279.0,2688,384,42
167,pc_top,split_005,iid_matched,AmPhos,4,0,3247081406.0,2688,384,42
168,pc_top,split_006,lolo,CataCXium A,0,1,,2688,384,42
169,pc_top,split_007,iid_matched,CataCXium A,0,1,3085377945.0,2688,384,42
170,pc_top,split_008,iid_matched,CataCXium A,1,1,3992813205.0,2688,384,42
171,pc_top,split_009,iid_matched,CataCXium A,2,1,3331582944.0,2688,384,42
172,pc_top,split_010,iid_matched,CataCXium A,3,1,1425948976.0,2688,384,42
173,pc_top,split_011,iid_matched,CataCXium A,4,1,3473989169.0,2688,384,42
174,pc_top,split_012,lolo,P(Cy)3,0,2,,2688,384,42
175,pc_top,split_013,iid_matched,P(Cy)3,0,2,1543309621.0,2688,384,42
176,pc_top,split_014,iid_matched,P(Cy)3,1,2,4212243904.0,2688,384,42
177,pc_top,split_015,iid_matched,P(Cy)3,2,2,2998352114.0,2688,384,42
178,pc_top,split_016,iid_matched,P(Cy)3,3,2,3561523259.0,2688,384,42
179,pc_top,split_017,iid_matched,P(Cy)3,4,2,487960984.0,2688,384,42
180,pc_top,split_018,lolo,P(Ph)3,0,3,,2688,384,42
181,pc_top,split_019,iid_matched,P(Ph)3,0,3,1863327358.0,2688,384,42
182,pc_top,split_020,iid_matched,P(Ph)3,1,3,2196199863.0,2688,384,42
183,pc_top,split_021,iid_matched,P(Ph)3,2,3,2370151141.0,2688,384,42
184,pc_top,split_022,iid_matched,P(Ph)3,3,3,1386322366.0,2688,384,42
185,pc_top,split_023,iid_matched,P(Ph)3,4,3,1717257290.0,2688,384,42
186,pc_top,split_024,lolo,P(o-Tol)3,0,4,,2688,384,42
187,pc_top,split_025,iid_matched,P(o-Tol)3,0,4,957872253.0,2688,384,42
188,pc_top,split_026,iid_matched,P(o-Tol)3,1,4,159318712.0,2688,384,42
189,pc_top,split_027,iid_matched,P(o-Tol)3,2,4,2995609731.0,2688,384,42
190,pc_top,split_028,iid_matched,P(o-Tol)3,3,4,3834639872.0,2688,384,42
191,pc_top,split_029,iid_matched,P(o-Tol)3,4,4,1096830298.0,2688,384,42
192,pc_top,split_030,lolo,P(tBu)3,0,5,,2688,384,42
193,pc_top,split_031,iid_matched,P(tBu)3,0,5,3903455144.0,2688,384,42
194,pc_top,split_032,iid_matched,P(tBu)3,1,5,1214467537.0,2688,384,42
195,pc_top,split_033,iid_matched,P(tBu)3,2,5,3518918101.0,2688,384,42
196,pc_top,split_034,iid_matched,P(tBu)3,3,5,3839849329.0,2688,384,42
197,pc_top,split_035,iid_matched,P(tBu)3,4,5,3820970956.0,2688,384,42
198,pc_top,split_036,lolo,SPhos,0,6,,2688,384,42
199,pc_top,split_037,iid_matched,SPhos,0,6,1091589161.0,2688,384,42
200,pc_top,split_038,iid_matched,SPhos,1,6,2885012696.0,2688,384,42
201,pc_top,split_039,iid_matched,SPhos,2,6,328363833.0,2688,384,42
202,pc_top,split_040,iid_matched,SPhos,3,6,607111100.0,2688,384,42
203,pc_top,split_041,iid_matched,SPhos,4,6,3785335315.0,2688,384,42
204,pc_top,split_042,lolo,XPhos,0,7,,2688,384,42
205,pc_top,split_043,iid_matched,XPhos,0,7,365121658.0,2688,384,42
206,pc_top,split_044,iid_matched,XPhos,1,7,1892714960.0,2688,384,42
207,pc_top,split_045,iid_matched,XPhos,2,7,2024858724.0,2688,384,42
208,pc_top,split_046,iid_matched,XPhos,3,7,2487897806.0,2688,384,42
209,pc_top,split_047,iid_matched,XPhos,4,7,2500767089.0,2688,384,42
210,pc_top,split_048,kfold,,0,0,42.0,2457,615,42
211,pc_top,split_049,kfold,,0,1,42.0,2457,615,42
212,pc_top,split_050,kfold,,0,2,42.0,2458,614,42
213,pc_top,split_051,kfold,,0,3,42.0,2458,614,42
214,pc_top,split_052,kfold,,0,4,42.0,2458,614,42
215,pc_top,split_053,holdout,,0,0,42.0,2457,615,42
216,pc_scores,split_000,lolo,AmPhos,0,0,,2688,384,42
217,pc_scores,split_001,iid_matched,AmPhos,0,0,2110739950.0,2688,384,42
218,pc_scores,split_002,iid_matched,AmPhos,1,0,1391648318.0,2688,384,42
219,pc_scores,split_003,iid_matched,AmPhos,2,0,2503568095.0,2688,384,42
220,pc_scores,split_004,iid_matched,AmPhos,3,0,2350088279.0,2688,384,42
221,pc_scores,split_005,iid_matched,AmPhos,4,0,3247081406.0,2688,384,42
222,pc_scores,split_006,lolo,CataCXium A,0,1,,2688,384,42
223,pc_scores,split_007,iid_matched,CataCXium A,0,1,3085377945.0,2688,384,42
224,pc_scores,split_008,iid_matched,CataCXium A,1,1,3992813205.0,2688,384,42
225,pc_scores,split_009,iid_matched,CataCXium A,2,1,3331582944.0,2688,384,42
226,pc_scores,split_010,iid_matched,CataCXium A,3,1,1425948976.0,2688,384,42
227,pc_scores,split_011,iid_matched,CataCXium A,4,1,3473989169.0,2688,384,42
228,pc_scores,split_012,lolo,P(Cy)3,0,2,,2688,384,42
229,pc_scores,split_013,iid_matched,P(Cy)3,0,2,1543309621.0,2688,384,42
230,pc_scores,split_014,iid_matched,P(Cy)3,1,2,4212243904.0,2688,384,42
231,pc_scores,split_015,iid_matched,P(Cy)3,2,2,2998352114.0,2688,384,42
232,pc_scores,split_016,iid_matched,P(Cy)3,3,2,3561523259.0,2688,384,42
233,pc_scores,split_017,iid_matched,P(Cy)3,4,2,487960984.0,2688,384,42
234,pc_scores,split_018,lolo,P(Ph)3,0,3,,2688,384,42
235,pc_scores,split_019,iid_matched,P(Ph)3,0,3,1863327358.0,2688,384,42
236,pc_scores,split_020,iid_matched,P(Ph)3,1,3,2196199863.0,2688,384,42
237,pc_scores,split_021,iid_matched,P(Ph)3,2,3,2370151141.0,2688,384,42
238,pc_scores,split_022,iid_matched,P(Ph)3,3,3,1386322366.0,2688,384,42
239,pc_scores,split_023,iid_matched,P(Ph)3,4,3,1717257290.0,2688,384,42
240,pc_scores,split_024,lolo,P(o-Tol)3,0,4,,2688,384,42
241,pc_scores,split_025,iid_matched,P(o-Tol)3,0,4,957872253.0,2688,384,42
242,pc_scores,split_026,iid_matched,P(o-Tol)3,1,4,159318712.0,2688,384,42
243,pc_scores,split_027,iid_matched,P(o-Tol)3,2,4,2995609731.0,2688,384,42
244,pc_scores,split_028,iid_matched,P(o-Tol)3,3,4,3834639872.0,2688,384,42
245,pc_scores,split_029,iid_matched,P(o-Tol)3,4,4,1096830298.0,2688,384,42
246,pc_scores,split_030,lolo,P(tBu)3,0,5,,2688,384,42
247,pc_scores,split_031,iid_matched,P(tBu)3,0,5,3903455144.0,2688,384,42
248,pc_scores,split_032,iid_matched,P(tBu)3,1,5,1214467537.0,2688,384,42
249,pc_scores,split_033,iid_matched,P(tBu)3,2,5,3518918101.0,2688,384,42
250,pc_scores,split_034,iid_matched,P(tBu)3,3,5,3839849329.0,2688,384,42
251,pc_scores,split_035,iid_matched,P(tBu)3,4,5,3820970956.0,2688,384,42
252,pc_scores,split_036,lolo,SPhos,0,6,,2688,384,42
253,pc_scores,split_037,iid_matched,SPhos,0,6,1091589161.0,2688,384,42
254,pc_scores,split_038,iid_matched,SPhos,1,6,2885012696.0,2688,384,42
255,pc_scores,split_039,iid_matched,SPhos,2,6,328363833.0,2688,384,42
256,pc_scores,split_040,iid_matched,SPhos,3,6,607111100.0,2688,384,42
257,pc_scores,split_041,iid_matched,SPhos,4,6,3785335315.0,2688,384,42
258,pc_scores,split_042,lolo,XPhos,0,7,,2688,384,42
259,pc_scores,split_043,iid_matched,XPhos,0,7,365121658.0,2688,384,42
260,pc_scores,split_044,iid_matched,XPhos,1,7,1892714960.0,2688,384,42
261,pc_scores,split_045,iid_matched,XPhos,2,7,2024858724.0,2688,384,42
262,pc_scores,split_046,iid_matched,XPhos,3,7,2487897806.0,2688,384,42
263,pc_scores,split_047,iid_matched,XPhos,4,7,2500767089.0,2688,384,42
264,pc_scores,split_048,kfold,,0,0,42.0,2457,615,42
265,pc_scores,split_049,kfold,,0,1,42.0,2457,615,42
266,pc_scores,split_050,kfold,,0,2,42.0,2458,614,42
267,pc_scores,split_051,kfold,,0,3,42.0,2458,614,42
268,pc_scores,split_052,kfold,,0,4,42.0,2458,614,42
269,pc_scores,split_053,holdout,,0,0,42.0,2457,615,42
