model,position,feature,block
ligand_ohe,31,cat__additive_5-phenylisoxazole,categorical
ligand_ohe,32,"cat__additive_N,N-dibenzylisoxazol-3-amine",categorical
ligand_ohe,33,"cat__additive_N,N-dibenzylisoxazol-5-amine",categorical
ligand_ohe,34,cat__additive_benzo[c]isoxazole,categorical
ligand_ohe,35,cat__additive_benzo[d]isoxazole,categorical
ligand_ohe,36,cat__additive_ethyl-3-methoxyisoxazole-5-carboxylate,categorical
ligand_ohe,37,cat__additive_ethyl-3-methylisoxazole-5-carboxylate,categorical
ligand_ohe,38,cat__additive_ethyl-5-methylisoxazole-3-carboxylate,categorical
ligand_ohe,39,cat__additive_ethyl-5-methylisoxazole-4-carboxylate,categorical
ligand_ohe,40,cat__additive_ethyl-isoxazole-3-carboxylate,categorical
ligand_ohe,41,cat__additive_ethyl-isoxazole-4-carboxylate,categorical
ligand_ohe,42,cat__additive_methyl-5-(furan-2-yl)isoxazole-3-carboxylate,categorical
ligand_ohe,43,cat__additive_methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,categorical
ligand_ohe,44,cat__additive_methyl-isoxazole-5-carboxylate,categorical
selected_2,1,num__vbur_pct_boltz,ligand
selected_2,2,num__vbur_pct_min,ligand
selected_2,3,cat__aryl_halide_1-bromo-4-(trifluoromethyl)benzene,categorical
selected_2,4,cat__aryl_halide_1-bromo-4-ethylbenzene,categorical
selected_2,5,cat__aryl_halide_1-bromo-4-methoxybenzene,categorical
selected_2,6,cat__aryl_halide_1-chloro-4-(trifluoromethyl)benzene,categorical
selected_2,7,cat__aryl_halide_1-chloro-4-ethylbenzene,categorical
selected_2,8,cat__aryl_halide_1-chloro-4-methoxybenzene,categorical
selected_2,9,cat__aryl_halide_1-ethyl-4-iodobenzene,categorical
selected_2,10,cat__aryl_halide_1-iodo-4-(trifluoromethyl)benzene,categorical
selected_2,11,cat__aryl_halide_1-iodo-4-methoxybenzene,categorical
selected_2,12,cat__aryl_halide_2-bromopyridine,categorical
selected_2,13,cat__aryl_halide_2-chloropyridine,categorical
selected_2,14,cat__aryl_halide_2-iodopyridine,categorical
selected_2,15,cat__aryl_halide_3-bromopyridine,categorical
selected_2,16,cat__aryl_halide_3-chloropyridine,categorical
selected_2,17,cat__aryl_halide_3-iodopyridine,categorical
selected_2,18,cat__base_BTMG,categorical
selected_2,19,cat__base_MTBD,categorical
selected_2,20,cat__base_P2Et,categorical
selected_2,21,"cat__additive_3,5-dimethylisoxazole",categorical
selected_2,22,cat__additive_3-methyl-5-phenylisoxazole,categorical
selected_2,23,cat__additive_3-methylisoxazole,categorical
selected_2,24,cat__additive_3-phenylisoxazole,categorical
selected_2,25,cat__additive_4-phenylisoxazole,categorical
selected_2,26,"cat__additive_5-(2,6-difluorophenyl)isoxazole",categorical
selected_2,27,cat__additive_5-methyl-3-(1H-pyrrol-1-yl)isoxazole,categorical
selected_2,28,cat__additive_5-methylisoxazole,categorical
selected_2,29,cat__additive_5-phenylisoxazole,categorical
selected_2,30,"cat__additive_N,N-dibenzylisoxazol-3-amine",categorical
selected_2,31,"cat__additive_N,N-dibenzylisoxazol-5-amine",categorical
selected_2,32,cat__additive_benzo[c]isoxazole,categorical
selected_2,33,cat__additive_benzo[d]isoxazole,categorical
selected_2,34,cat__additive_ethyl-3-methoxyisoxazole-5-carboxylate,categorical
selected_2,35,cat__additive_ethyl-3-methylisoxazole-5-carboxylate,categorical
selected_2,36,cat__additive_ethyl-5-methylisoxazole-3-carboxylate,categorical
selected_2,37,cat__additive_ethyl-5-methylisoxazole-4-carboxylate,categorical
selected_2,38,cat__additive_ethyl-isoxazole-3-carboxylate,categorical
selected_2,39,cat__additive_ethyl-isoxazole-4-carboxylate,categorical
selected_2,40,cat__additive_methyl-5-(furan-2-yl)isoxazole-3-carboxylate,categorical
selected_2,41,cat__additive_methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,categorical
selected_2,42,cat__additive_methyl-isoxazole-5-carboxylate,categorical
selected_5,1,num__vbur_pct_boltz,ligand
selected_5,2,num__vbur_pct_min,ligand
selected_5,3,num__vbur_pct_delta,ligand
selected_5,4,num__dipolemoment_boltz,ligand
selected_5,5,num__homo_lumo_gap_eV,ligand
selected_5,6,cat__aryl_halide_1-bromo-4-(trifluoromethyl)benzene,categorical
selected_5,7,cat__aryl_halide_1-bromo-4-ethylbenzene,categorical
selected_5,8,cat__aryl_halide_1-bromo-4-methoxybenzene,categorical
selected_5,9,cat__aryl_halide_1-chloro-4-(trifluoromethyl)benzene,categorical
selected_5,10,cat__aryl_halide_1-chloro-4-ethylbenzene,categorical
selected_5,11,cat__aryl_halide_1-chloro-4-methoxybenzene,categorical
selected_5,12,cat__aryl_halide_1-ethyl-4-iodobenzene,categorical
selected_5,13,cat__aryl_halide_1-iodo-4-(trifluoromethyl)benzene,categorical
selected_5,14,cat__aryl_halide_1-iodo-4-methoxybenzene,categorical
selected_5,15,cat__aryl_halide_2-bromopyridine,categorical
selected_5,16,cat__aryl_halide_2-chloropyridine,categorical
selected_5,17,cat__aryl_halide_2-iodopyridine,categorical
selected_5,18,cat__aryl_halide_3-bromopyridine,categorical
selected_5,19,cat__aryl_halide_3-chloropyridine,categorical
selected_5,20,cat__aryl_halide_3-iodopyridine,categorical
selected_5,21,cat__base_BTMG,categorical
selected_5,22,cat__base_MTBD,categorical
selected_5,23,cat__base_P2Et,categorical
selected_5,24,"cat__additive_3,5-dimethylisoxazole",categorical
selected_5,25,cat__additive_3-methyl-5-phenylisoxazole,categorical
selected_5,26,cat__additive_3-methylisoxazole,categorical
selected_5,27,cat__additive_3-phenylisoxazole,categorical
selected_5,28,cat__additive_4-phenylisoxazole,categorical
selected_5,29,"cat__additive_5-(2,6-difluorophenyl)isoxazole",categorical
selected_5,30,cat__additive_5-methyl-3-(1H-pyrrol-1-yl)isoxazole,categorical
selected_5,31,cat__additive_5-methylisoxazole,categorical
selected_5,32,cat__additive_5-phenylisoxazole,categorical
selected_5,33,"cat__additive_N,N-dibenzylisoxazol-3-amine",categorical
selected_5,34,"cat__additive_N,N-dibenzylisoxazol-5-amine",categorical
selected_5,35,cat__additive_benzo[c]isoxazole,categorical
selected_5,36,cat__additive_benzo[d]isoxazole,categorical
selected_5,37,cat__additive_ethyl-3-methoxyisoxazole-5-carboxylate,categorical
selected_5,38,cat__additive_ethyl-3-methylisoxazole-5-carboxylate,categorical
selected_5,39,cat__additive_ethyl-5-methylisoxazole-3-carboxylate,categorical
selected_5,40,cat__additive_ethyl-5-methylisoxazole-4-carboxylate,categorical
selected_5,41,cat__additive_ethyl-isoxazole-3-carboxylate,categorical
selected_5,42,cat__additive_ethyl-isoxazole-4-carboxylate,categorical
selected_5,43,cat__additive_methyl-5-(furan-2-yl)isoxazole-3-carboxylate,categorical
selected_5,44,cat__additive_methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,categorical
selected_5,45,cat__additive_methyl-isoxazole-5-carboxylate,categorical
pc_top,1,num__vbur_vtot_boltz,ligand
pc_top,2,num__volume_boltz,ligand
pc_top,3,num__vbur_near_vtot_vburminconf,ligand
pc_top,4,num__pyr_P_max,ligand
pc_top,5,num__qpole_amp_max,ligand
pc_top,6,num__vbur_qvbur_min_min,ligand
pc_top,7,num__vbur_near_vbur_delta,ligand
pc_top,8,num__vbur_vbur_delta,ligand
pc_top,9,num__vbur_qvbur_min_delta,ligand
pc_top,10,num__nbo_bds_occ_avg_boltz,ligand
pc_top,11,num__efgtens_zz_P_boltz,ligand
pc_top,12,num__nmr_P_boltz,ligand
pc_top,13,cat__aryl_halide_1-bromo-4-(trifluoromethyl)benzene,categorical
pc_top,14,cat__aryl_halide_1-bromo-4-ethylbenzene,categorical
pc_top,15,cat__aryl_halide_1-bromo-4-methoxybenzene,categorical
pc_top,16,cat__aryl_halide_1-chloro-4-(trifluoromethyl)benzene,categorical
pc_top,17,cat__aryl_halide_1-chloro-4-ethylbenzene,categorical
pc_top,18,cat__aryl_halide_1-chloro-4-methoxybenzene,categorical
pc_top,19,cat__aryl_halide_1-ethyl-4-iodobenzene,categorical
pc_top,20,cat__aryl_halide_1-iodo-4-(trifluoromethyl)benzene,categorical
pc_top,21,cat__aryl_halide_1-iodo-4-methoxybenzene,categorical
pc_top,22,cat__aryl_halide_2-bromopyridine,categorical
pc_top,23,cat__aryl_halide_2-chloropyridine,categorical
pc_top,24,cat__aryl_halide_2-iodopyridine,categorical
pc_top,25,cat__aryl_halide_3-bromopyridine,categorical
pc_top,26,cat__aryl_halide_3-chloropyridine,categorical
pc_top,27,cat__aryl_halide_3-iodopyridine,categorical
pc_top,28,cat__base_BTMG,categorical
pc_top,29,cat__base_MTBD,categorical
pc_top,30,cat__base_P2Et,categorical
pc_top,31,"cat__additive_3,5-dimethylisoxazole",categorical
pc_top,32,cat__additive_3-methyl-5-phenylisoxazole,categorical
pc_top,33,cat__additive_3-methylisoxazole,categorical
pc_top,34,cat__additive_3-phenylisoxazole,categorical
pc_top,35,cat__additive_4-phenylisoxazole,categorical
pc_top,36,"cat__additive_5-(2,6-difluorophenyl)isoxazole",categorical
pc_top,37,cat__additive_5-methyl-3-(1H-pyrrol-1-yl)isoxazole,categorical
pc_top,38,cat__additive_5-methylisoxazole,categorical
pc_top,39,cat__additive_5-phenylisoxazole,categorical
pc_top,40,"cat__additive_N,N-dibenzylisoxazol-3-amine",categorical
pc_top,41,"cat__additive_N,N-dibenzylisoxazol-5-amine",categorical
pc_top,42,cat__additive_benzo[c]isoxazole,categorical
pc_top,43,cat__additive_benzo[d]isoxazole,categorical
pc_top,44,cat__additive_ethyl-3-methoxyisoxazole-5-carboxylate,categorical
pc_top,45,cat__additive_ethyl-3-methylisoxazole-5-carboxylate,categorical
pc_top,46,cat__additive_ethyl-5-methylisoxazole-3-carboxylate,categorical
pc_top,47,cat__additive_ethyl-5-methylisoxazole-4-carboxylate,categorical
pc_top,48,cat__additive_ethyl-isoxazole-3-carboxylate,categorical
pc_top,49,cat__additive_ethyl-isoxazole-4-carboxylate,categorical
pc_top,50,cat__additive_methyl-5-(furan-2-yl)isoxazole-3-carboxylate,categorical
pc_top,51,cat__additive_methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,categorical
pc_top,52,cat__additive_methyl-isoxazole-5-carboxylate,categorical
pc_scores,1,num__PC1_x_vmin_vmin_boltz,ligand
pc_scores,2,num__PC1_x_vmin_r_boltz,ligand
pc_scores,3,num__PC1_x_fmo_e_homo_boltz,ligand
pc_scores,4,num__PC1_x_fmo_e_lumo_boltz,ligand
pc_scores,5,num__PC1_x_fmo_mu_boltz,ligand
pc_scores,6,num__PC1_x_fmo_eta_boltz,ligand
pc_scores,7,num__PC1_x_fmo_omega_boltz,ligand
pc_scores,8,num__PC1_x_somo_ra_boltz,ligand
pc_scores,9,num__PC1_x_somo_rc_boltz,ligand
pc_scores,10,num__PC1_x_nbo_P_boltz,ligand
pc_scores,11,num__PC1_x_nbo_P_ra_boltz,ligand
pc_scores,12,num__PC1_x_spindens_P_ra_boltz,ligand
pc_scores,13,num__PC1_x_nbo_P_rc_boltz,ligand
pc_scores,14,num__PC1_x_spindens_P_rc_boltz,ligand
pc_scores,15,num__PC1_x_nmr_P_boltz,ligand
pc_scores,16,num__PC1_x_nmrtens_sxx_P_boltz,ligand
pc_scores,17,num__PC1_x_nmrtens_syy_P_boltz,ligand
pc_scores,18,num__PC1_x_nmrtens_szz_P_boltz,ligand
pc_scores,19,num__PC1_x_efg_amp_P_boltz,ligand
pc_scores,20,num__PC1_x_efgtens_xx_P_boltz,ligand
pc_scores,21,num__PC1_x_efgtens_yy_P_boltz,ligand
pc_scores,22,num__PC1_x_efgtens_zz_P_boltz,ligand
pc_scores,23,num__PC1_x_nuesp_P_boltz,ligand
pc_scores,24,num__PC1_x_E_solv_cds_boltz,ligand
pc_scores,25,num__PC1_x_nbo_lp_P_percent_s_boltz,ligand
pc_scores,26,num__PC1_x_nbo_lp_P_occ_boltz,ligand
pc_scores,27,num__PC1_x_nbo_lp_P_e_boltz,ligand
pc_scores,28,num__PC1_x_nbo_bd_e_max_boltz,ligand
pc_scores,29,num__PC1_x_nbo_bd_e_avg_boltz,ligand
pc_scores,30,num__PC1_x_nbo_bds_e_min_boltz,ligand
pc_scores,31,num__PC1_x_nbo_bds_e_avg_boltz,ligand
pc_scores,32,num__PC1_x_nbo_bd_occ_min_boltz,ligand
pc_scores,33,num__PC1_x_nbo_bd_occ_avg_boltz,ligand
pc_scores,34,num__PC1_x_nbo_bds_occ_max_boltz,ligand
pc_scores,35,num__PC1_x_nbo_bds_occ_avg_boltz,ligand
pc_scores,36,num__PC1_x_E_solv_total_boltz,ligand
pc_scores,37,num__PC1_x_E_solv_elstat_boltz,ligand
pc_scores,38,num__PC1_x_E_oxidation_boltz,ligand
pc_scores,39,num__PC1_x_E_reduction_boltz,ligand
pc_scores,40,num__PC1_x_fukui_p_boltz,ligand
pc_scores,41,num__PC1_x_fukui_m_boltz,ligand
pc_scores,42,num__PC1_x_vbur_vtot_boltz,ligand
pc_scores,43,num__PC1_x_vbur_ratio_vbur_vtot_boltz,ligand
pc_scores,44,num__PC1_x_Pint_P_int_boltz,ligand
pc_scores,45,num__PC1_x_Pint_dP_boltz,ligand
pc_scores,46,num__PC1_x_Pint_P_min_boltz,ligand
pc_scores,47,num__PC1_x_Pint_P_max_boltz,ligand
pc_scores,48,num__PC1_x_volume_boltz,ligand
pc_scores,49,num__PC1_x_surface_area_boltz,ligand
pc_scores,50,num__PC1_x_sphericity_boltz,ligand
pc_scores,51,num__PC1_x_dipolemoment_boltz,ligand
pc_scores,52,num__PC1_x_dipolemoment_min,ligand
pc_scores,53,num__PC1_x_dipolemoment_max,ligand
pc_scores,54,num__PC1_x_dipolemoment_delta,ligand
pc_scores,55,num__PC1_x_dipolemoment_vburminconf,ligand
pc_scores,56,num__PC1_x_qpole_amp_boltz,ligand
pc_scores,57,num__PC1_x_qpole_amp_min,ligand
pc_scores,58,num__PC1_x_qpole_amp_max,ligand
pc_scores,59,num__PC1_x_qpole_amp_delta,ligand
pc_scores,60,num__PC1_x_qpole_amp_vburminconf,ligand
pc_scores,61,num__PC1_x_qpoletens_xx_boltz,ligand
pc_scores,62,num__PC1_x_qpoletens_xx_min,ligand
pc_scores,63,num__PC1_x_qpoletens_xx_max,ligand
pc_scores,64,num__PC1_x_qpoletens_xx_delta,ligand
pc_scores,65,num__PC1_x_qpoletens_xx_vburminconf,ligand
pc_scores,66,num__PC1_x_qpoletens_yy_boltz,ligand
pc_scores,67,num__PC1_x_qpoletens_yy_min,ligand
pc_scores,68,num__PC1_x_qpoletens_yy_max,ligand
pc_scores,69,num__PC1_x_qpoletens_yy_delta,ligand
pc_scores,70,num__PC1_x_qpoletens_yy_vburminconf,ligand
pc_scores,71,num__PC1_x_qpoletens_zz_boltz,ligand
pc_scores,72,num__PC1_x_qpoletens_zz_min,ligand
pc_scores,73,num__PC1_x_qpoletens_zz_max,ligand
pc_scores,74,num__PC1_x_qpoletens_zz_delta,ligand
pc_scores,75,num__PC1_x_qpoletens_zz_vburminconf,ligand
pc_scores,76,num__PC1_x_pyr_P_boltz,ligand
pc_scores,77,num__PC1_x_pyr_P_min,ligand
pc_scores,78,num__PC1_x_pyr_P_max,ligand
pc_scores,79,num__PC1_x_pyr_P_delta,ligand
pc_scores,80,num__PC1_x_pyr_P_vburminconf,ligand
pc_scores,81,num__PC1_x_pyr_alpha_boltz,ligand
pc_scores,82,num__PC1_x_pyr_alpha_min,ligand
pc_scores,83,num__PC1_x_pyr_alpha_max,ligand
pc_scores,84,num__PC1_x_pyr_alpha_delta,ligand
pc_scores,85,num__PC1_x_pyr_alpha_vburminconf,ligand
pc_scores,86,num__PC1_x_vbur_vbur_boltz,ligand
pc_scores,87,num__PC1_x_vbur_vbur_min,ligand
pc_scores,88,num__PC1_x_vbur_vbur_max,ligand
pc_scores,89,num__PC1_x_vbur_vbur_delta,ligand
pc_scores,90,num__PC1_x_vbur_vbur_vburminconf,ligand
pc_scores,91,num__PC1_x_vbur_qvbur_min_boltz,ligand
pc_scores,92,num__PC1_x_vbur_qvbur_min_min,ligand
pc_scores,93,num__PC1_x_vbur_qvbur_min_max,ligand
pc_scores,94,num__PC1_x_vbur_qvbur_min_delta,ligand
pc_scores,95,num__PC1_x_vbur_qvbur_min_vburminconf,ligand
pc_scores,96,num__PC1_x_vbur_qvbur_max_boltz,ligand
pc_scores,97,num__PC1_x_vbur_qvbur_max_min,ligand
pc_scores,98,num__PC1_x_vbur_qvbur_max_max,ligand
pc_scores,99,num__PC1_x_vbur_qvbur_max_delta,ligand
pc_scores,100,num__PC1_x_vbur_qvbur_max_vburminconf,ligand
pc_scores,101,num__PC1_x_vbur_qvtot_min_boltz,ligand
pc_scores,102,num__PC1_x_vbur_qvtot_min_min,ligand
pc_scores,103,num__PC1_x_vbur_qvtot_min_max,ligand
pc_scores,104,num__PC1_x_vbur_qvtot_min_delta,ligand
pc_scores,105,num__PC1_x_vbur_qvtot_min_vburminconf,ligand
pc_scores,106,num__PC1_x_vbur_qvtot_max_boltz,ligand
pc_scores,107,num__PC1_x_vbur_qvtot_max_min,ligand
pc_scores,108,num__PC1_x_vbur_qvtot_max_max,ligand
pc_scores,109,num__PC1_x_vbur_qvtot_max_delta,ligand
pc_scores,110,num__PC1_x_vbur_qvtot_max_vburminconf,ligand
pc_scores,111,num__PC1_x_vbur_max_delta_qvbur_boltz,ligand
pc_scores,112,num__PC1_x_vbur_max_delta_qvbur_min,ligand
pc_scores,113,num__PC1_x_vbur_max_delta_qvbur_max,ligand
pc_scores,114,num__PC1_x_vbur_max_delta_qvbur_delta,ligand
pc_scores,115,num__PC1_x_vbur_max_delta_qvbur_vburminconf,ligand
pc_scores,116,num__PC1_x_vbur_max_delta_qvtot_boltz,ligand
pc_scores,117,num__PC1_x_vbur_max_delta_qvtot_min,ligand
pc_scores,118,num__PC1_x_vbur_max_delta_qvtot_max,ligand
pc_scores,119,num__PC1_x_vbur_max_delta_qvtot_delta,ligand
pc_scores,120,num__PC1_x_vbur_max_delta_qvtot_vburminconf,ligand
pc_scores,121,num__PC1_x_vbur_ovbur_min_boltz,ligand
pc_scores,122,num__PC1_x_vbur_ovbur_min_min,ligand
pc_scores,123,num__PC1_x_vbur_ovbur_min_max,ligand
pc_scores,124,num__PC1_x_vbur_ovbur_min_delta,ligand
pc_scores,125,num__PC1_x_vbur_ovbur_min_vburminconf,ligand
pc_scores,126,num__PC1_x_vbur_ovbur_max_boltz,ligand
pc_scores,127,num__PC1_x_vbur_ovbur_max_min,ligand
pc_scores,128,num__PC1_x_vbur_ovbur_max_max,ligand
pc_scores,129,num__PC1_x_vbur_ovbur_max_delta,ligand
pc_scores,130,num__PC1_x_vbur_ovbur_max_vburminconf,ligand
pc_scores,131,num__PC1_x_vbur_ovtot_min_boltz,ligand
pc_scores,132,num__PC1_x_vbur_ovtot_min_min,ligand
pc_scores,133,num__PC1_x_vbur_ovtot_min_max,ligand
pc_scores,134,num__PC1_x_vbur_ovtot_min_delta,ligand
pc_scores,135,num__PC1_x_vbur_ovtot_min_vburminconf,ligand
pc_scores,136,num__PC1_x_vbur_ovtot_max_boltz,ligand
pc_scores,137,num__PC1_x_vbur_ovtot_max_min,ligand
pc_scores,138,num__PC1_x_vbur_ovtot_max_max,ligand
pc_scores,139,num__PC1_x_vbur_ovtot_max_delta,ligand
pc_scores,140,num__PC1_x_vbur_ovtot_max_vburminconf,ligand
pc_scores,141,num__PC1_x_vbur_near_vbur_boltz,ligand
pc_scores,142,num__PC1_x_vbur_near_vbur_min,ligand
pc_scores,143,num__PC1_x_vbur_near_vbur_max,ligand
pc_scores,144,num__PC1_x_vbur_near_vbur_delta,ligand
pc_scores,145,num__PC1_x_vbur_near_vbur_vburminconf,ligand
pc_scores,146,num__PC1_x_vbur_far_vbur_boltz,ligand
pc_scores,147,num__PC1_x_vbur_far_vbur_min,ligand
pc_scores,148,num__PC1_x_vbur_far_vbur_max,ligand
pc_scores,149,num__PC1_x_vbur_far_vbur_delta,ligand
pc_scores,150,num__PC1_x_vbur_far_vbur_vburminconf,ligand
pc_scores,151,num__PC1_x_vbur_near_vtot_boltz,ligand
pc_scores,152,num__PC1_x_vbur_near_vtot_min,ligand
pc_scores,153,num__PC1_x_vbur_near_vtot_max,ligand
pc_scores,154,num__PC1_x_vbur_near_vtot_delta,ligand
pc_scores,155,num__PC1_x_vbur_near_vtot_vburminconf,ligand
pc_scores,156,num__PC1_x_vbur_far_vtot_boltz,ligand
pc_scores,157,num__PC1_x_vbur_far_vtot_min,ligand
pc_scores,158,num__PC1_x_vbur_far_vtot_max,ligand
pc_scores,159,num__PC1_x_vbur_far_vtot_delta,ligand
pc_scores,160,num__PC1_x_vbur_far_vtot_vburminconf,ligand
pc_scores,161,num__PC1_x_sterimol_B1_boltz,ligand
pc_scores,162,num__PC1_x_sterimol_B1_min,ligand
pc_scores,163,num__PC1_x_sterimol_B1_max,ligand
pc_scores,164,num__PC1_x_sterimol_B1_delta,ligand
pc_scores,165,num__PC1_x_sterimol_B1_vburminconf,ligand
pc_scores,166,num__PC1_x_sterimol_B5_boltz,ligand
pc_scores,167,num__PC1_x_sterimol_B5_min,ligand
pc_scores,168,num__PC1_x_sterimol_B5_max,ligand
pc_scores,169,num__PC1_x_sterimol_B5_delta,ligand
pc_scores,170,num__PC1_x_sterimol_B5_vburminconf,ligand
pc_scores,171,num__PC1_x_sterimol_L_boltz,ligand
pc_scores,172,num__PC1_x_sterimol_L_min,ligand
pc_scores,173,num__PC1_x_sterimol_L_max,ligand
pc_scores,174,num__PC1_x_sterimol_L_delta,ligand
pc_scores,175,num__PC1_x_sterimol_L_vburminconf,ligand
pc_scores,176,num__PC1_x_sterimol_burB1_boltz,ligand
pc_scores,177,num__PC1_x_sterimol_burB1_min,ligand
pc_scores,178,num__PC1_x_sterimol_burB1_max,ligand
pc_scores,179,num__PC1_x_sterimol_burB1_delta,ligand
pc_scores,180,num__PC1_x_sterimol_burB1_vburminconf,ligand
pc_scores,181,num__PC1_x_sterimol_burB5_boltz,ligand
pc_scores,182,num__PC1_x_sterimol_burB5_min,ligand
pc_scores,183,num__PC1_x_sterimol_burB5_max,ligand
pc_scores,184,num__PC1_x_sterimol_burB5_delta,ligand
pc_scores,185,num__PC1_x_sterimol_burB5_vburminconf,ligand
pc_scores,186,num__PC1_x_sterimol_burL_boltz,ligand
pc_scores,187,num__PC1_x_sterimol_burL_min,ligand
pc_scores,188,num__PC1_x_sterimol_burL_max,ligand
pc_scores,189,num__PC1_x_sterimol_burL_delta,ligand
pc_scores,190,num__PC1_x_sterimol_burL_vburminconf,ligand
pc_scores,191,num__PC2_x_vmin_vmin_boltz,ligand
pc_scores,192,num__PC2_x_vmin_r_boltz,ligand
pc_scores,193,num__PC2_x_fmo_e_homo_boltz,ligand
pc_scores,194,num__PC2_x_fmo_e_lumo_boltz,ligand
pc_scores,195,num__PC2_x_fmo_mu_boltz,ligand
pc_scores,196,num__PC2_x_fmo_eta_boltz,ligand
pc_scores,197,num__PC2_x_fmo_omega_boltz,ligand
pc_scores,198,num__PC2_x_somo_ra_boltz,ligand
pc_scores,199,num__PC2_x_somo_rc_boltz,ligand
pc_scores,200,num__PC2_x_nbo_P_boltz,ligand
pc_scores,201,num__PC2_x_nbo_P_ra_boltz,ligand
pc_scores,202,num__PC2_x_spindens_P_ra_boltz,ligand
pc_scores,203,num__PC2_x_nbo_P_rc_boltz,ligand
pc_scores,204,num__PC2_x_spindens_P_rc_boltz,ligand
pc_scores,205,num__PC2_x_nmr_P_boltz,ligand
pc_scores,206,num__PC2_x_nmrtens_sxx_P_boltz,ligand
pc_scores,207,num__PC2_x_nmrtens_syy_P_boltz,ligand
pc_scores,208,num__PC2_x_nmrtens_szz_P_boltz,ligand
pc_scores,209,num__PC2_x_efg_amp_P_boltz,ligand
pc_scores,210,num__PC2_x_efgtens_xx_P_boltz,ligand
pc_scores,211,num__PC2_x_efgtens_yy_P_boltz,ligand
pc_scores,212,num__PC2_x_efgtens_zz_P_boltz,ligand
pc_scores,213,num__PC2_x_nuesp_P_boltz,ligand
pc_scores,214,num__PC2_x_E_solv_cds_boltz,ligand
pc_scores,215,num__PC2_x_nbo_lp_P_percent_s_boltz,ligand
pc_scores,216,num__PC2_x_nbo_lp_P_occ_boltz,ligand
pc_scores,217,num__PC2_x_nbo_lp_P_e_boltz,ligand
pc_scores,218,num__PC2_x_nbo_bd_e_max_boltz,ligand
pc_scores,219,num__PC2_x_nbo_bd_e_avg_boltz,ligand
pc_scores,220,num__PC2_x_nbo_bds_e_min_boltz,ligand
pc_scores,221,num__PC2_x_nbo_bds_e_avg_boltz,ligand
pc_scores,222,num__PC2_x_nbo_bd_occ_min_boltz,ligand
pc_scores,223,num__PC2_x_nbo_bd_occ_avg_boltz,ligand
pc_scores,224,num__PC2_x_nbo_bds_occ_max_boltz,ligand
pc_scores,225,num__PC2_x_nbo_bds_occ_avg_boltz,ligand
pc_scores,226,num__PC2_x_E_solv_total_boltz,ligand
pc_scores,227,num__PC2_x_E_solv_elstat_boltz,ligand
pc_scores,228,num__PC2_x_E_oxidation_boltz,ligand
pc_scores,229,num__PC2_x_E_reduction_boltz,ligand
pc_scores,230,num__PC2_x_fukui_p_boltz,ligand
pc_scores,231,num__PC2_x_fukui_m_boltz,ligand
pc_scores,232,num__PC2_x_vbur_vtot_boltz,ligand
pc_scores,233,num__PC2_x_vbur_ratio_vbur_vtot_boltz,ligand
pc_scores,234,num__PC2_x_Pint_P_int_boltz,ligand
pc_scores,235,num__PC2_x_Pint_dP_boltz,ligand
